Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
BC Slovan Bratislava,Milan Szabó,21,Milan Szabó,50,15.5,773.8,300.0,6.0,120.0,204.0,58.8,15.0,45.0,33.3,45.0,75.0,60,57.0,95.0,152.0,25.0,22.0,27.0,33.0,105.0,204.5,14.3,20.9,1.7,10.6,57,357.0,7.1,24.9,5,2.5,2,2,86.8,2.9,2,2.28,-2.59,4.87,4.2,3.5,139.0,96.0,69.1,7.0,4.0,57.1,0.0,0.0,0,10.0,12.0,0.0,11.0,55.0,36.0,40.0
BC Slovan Bratislava,Matej Majerčák,5,Matej Majerčák,49,9.5,466.9,137.0,2.8,47.0,114.0,41.2,35.0,93.0,37.6,8.0,10.0,80,9.0,28.0,37.0,61.0,18.0,1.0,42.0,66.0,145.3,16.8,15.8,7.1,4.3,136,273.0,5.6,31.6,0,0,0,0,0,0.0,0,-0.73,-4.2,3.47,1.6,2.8,17.0,12.0,70.6,3.0,0.0,0,7.0,2.0,28.6,33.0,6.0,0.0,3.0,17.0,15.0,13.0
BC Slovan Bratislava,Ivan Židzik,19,Ivan Židzik,48,1.2,58.2,9.0,0.2,2.0,11.0,18.2,0.0,6.0,0,5.0,6.0,83.3,4.0,12.0,16.0,5.0,0.0,2.0,4.0,4.0,13.1,12.1,8.3,4.6,14.8,13,22.0,0.5,20.4,0,0,0,0,0,0.0,0,-3.54,-7.01,3.47,4.0,4.3,3.0,2.0,66.7,0.0,0.0,0,1.0,0.0,0,3.0,1.0,0.0,0.0,2.0,0.0,0.0
BC Slovan Bratislava,David Abrhám,14,David Abrhám,47,23.2,1092.2,303.0,6.4,102.0,241.0,42.3,66.0,178.0,37.1,33.0,41.0,80.5,18.0,41.0,59.0,66.0,19.0,2.0,38.0,99.0,267.9,13.2,15.0,3.3,2.9,142,445.0,9.5,22.0,3,1.0,3,2,38.7,3.9,3,-0.51,-3.36,2.85,2.1,3.8,42.0,25.0,59.5,0.0,0.0,0,0.0,0.0,0,25.0,9.0,0.0,4.0,20.0,31.0,39.0
Patrioti Levice,Samuel Solčánsky,31,Samuel Solčánsky,47,10.3,486.0,180.0,3.8,66.0,119.0,55.5,9.0,27.0,33.3,39.0,53.0,73.6,22.0,55.0,77.0,11.0,11.0,5.0,16.0,47.0,130.9,13.8,19.1,1.2,8.2,22,202.0,4.3,21.4,0,0.0,2,0,0.0,2.0,1,0.51,-3.79,4.3,3.7,4.0,52.0,38.0,73.1,1.0,1.0,100,0.0,0.0,0,5.0,8.0,1.0,2.0,16.0,14.0,18.0
Patrioti Levice,Rickey Isaiah Justin Mc Gill,0,Rickey Isaiah Justin Mc Gill,46,32.6,1497.7,1090.0,23.7,359.0,764.0,47,105.0,293.0,35.8,267.0,327.0,81.7,24.0,156.0,180.0,267.0,113.0,3.0,138.0,80.0,981.0,33.6,37.5,9.2,6.2,568,1658.0,36.0,57.1,10,1.2,11,7,35.5,15.1,8,9.01,3.02,5.99,1.2,1.0,196.0,129.0,65.8,107.0,50.0,46.7,89.0,42.0,47.2,76.0,47.0,0.0,15.0,62.0,164.0,184.0
Patrioti Levice,Keith Andre Wesson Jr,5,Keith Andre Wesson Jr,46,28.8,1326.5,672.0,14.6,228.0,491.0,46.4,94.0,242.0,38.8,122.0,172.0,70.9,52.0,242.0,294.0,90.0,45.0,25.0,69.0,95.0,560.3,21.6,26.1,3.5,11.4,215,887.0,19.3,34.5,23,2.3,11,11,72.6,15.8,10,4.42,-0.78,5.21,3.9,3.1,129.0,83.0,64.3,44.0,19.0,43.2,33.0,13.0,39.4,34.0,21.0,0.0,14.0,83.0,73.0,125.0
BC Slovan Bratislava,Lester Fezell Medford Jr,8,Lester Fezell Medford Jr,46,28.2,1296.1,566.0,12.3,192.0,476.0,40.3,95.0,264.0,36,87.0,117.0,74.4,22.0,114.0,136.0,206.0,71.0,7.0,130.0,150.0,610.1,25.4,23.6,8.6,5.7,477,1043.0,22.7,43.5,21,1.9,11,12,64.5,17.3,11,1.57,-2.3,3.87,1.3,2.0,106.0,57.0,53.8,36.0,16.0,44.4,49.0,25.0,51,78.0,38.0,1.0,13.0,32.0,68.0,78.0
Patrioti Levice,Patrik Pažický,3,Patrik Pažický,46,14.5,667.5,192.0,4.2,75.0,195.0,38.5,22.0,68.0,32.4,20.0,33.0,60.6,24.0,81.0,105.0,66.0,55.0,5.0,44.0,86.0,220.3,16.9,14.8,5.1,8.1,142,334.0,7.3,25.8,1,1.0,1,2,26.6,1.9,1,0.52,-6.41,6.92,2.4,4.2,64.0,33.0,51.6,22.0,6.0,27.3,5.0,0.0,0,23.0,12.0,0.0,9.0,11.0,47.0,52.0
Nitra Blue Wings,Jordan Lamont Jones,4,Jordan Lamont Jones,45,29.6,1330.5,801.0,17.8,302.0,655.0,46.1,69.0,217.0,31.8,128.0,171.0,74.9,52.0,116.0,168.0,180.0,79.0,2.0,122.0,104.0,768.2,30.8,32.2,7.2,6.8,409,1210.0,26.9,48.7,16,1.3,16,7,41.9,20.1,12,5.18,0.4,4.78,1.5,1.0,228.0,147.0,64.5,34.0,17.0,50,17.0,3.0,17.6,61.0,51.0,0.0,10.0,73.0,113.0,159.0
