Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
Локомотив Пловдив,"Девърл Рамзи, Кхалил Милър, Шоу Андерсън, Кръстомир Михов, Томислав Минков","Локомотив Пловдив|0,14,24,33,9",0,Девърл Рамзи,24,Шоу Андерсън,18,52,16,2,11,1.64,4.73
Черно море Тича,"Алонзо Гафни, Георги Боянов, Джелани Уотсън-Гейл, Ламонт Уест, Николай Стоянов","Черно море Тича|0,24,3,5,8",3,Джелани Уотсън-Гейл,0,Алонзо Гафни,18,40,4,14,9,2.0,4.44
Черно море Тича,"Алонзо Гафни, Георги Боянов, Джелани Уотсън-Гейл, Ламонт Уест, Николай Стоянов","Черно море Тича|0,24,3,5,8",3,Джелани Уотсън-Гейл,8,Николай Стоянов,16,38,6,10,11,1.45,3.45
Локомотив Пловдив,"Девърл Рамзи, Кхалил Милър, Шоу Андерсън, Кръстомир Михов, Томислав Минков","Локомотив Пловдив|0,14,24,33,9",0,Девърл Рамзи,14,Кхалил Милър,16,35,3,13,13,1.23,2.69
Локомотив Пловдив,"Девърл Рамзи, Кхалил Милър, Йоанис Кикрилис, Шоу Андерсън, Томислав Минков","Локомотив Пловдив|0,14,21,24,9",0,Девърл Рамзи,14,Кхалил Милър,12,27,3,9,9,1.33,3.0
Локомотив Пловдив,"Девърл Рамзи, Кхалил Милър, Йоанис Кикрилис, Шоу Андерсън, Томислав Минков","Локомотив Пловдив|0,14,21,24,9",0,Девърл Рамзи,9,Томислав Минков,11,25,3,8,7,1.57,3.57
Балкан,"Джамари Блекмон, Джоунс Пагенкопф, Демонд Робинсън, Димитър Димитров, Илиян Пищиков","Балкан|0,10,3,34,7",10,Джоунс Пагенкопф,3,Демонд Робинсън,11,24,2,9,7,1.57,3.43
Рилски спортист,"Алън Арнет, Деян Карамфилов, Александър Георгиев, Мирослав Васов, Майкъл Едуардс","Рилски спортист|0,1,12,23,7",1,Деян Карамфилов,12,Александър Георгиев,9,22,4,5,6,1.5,3.67
Ботев 2012 Враца,"Михаил Калинов, Кортни Александър ii, Стефан Михайлов, Дейвид Хоутън, Георги Герганов","Ботев 2012 Враца|1,2,33,41,77",1,Михаил Калинов,41,Дейвид Хоутън,11,22,0,11,9,1.22,2.44
Академик Бултекс 99,"Джакуез Йоу, Васил Бачев, Николай Михайлов, Обрад Томич, Райт-Рииво Лаане","Академик Бултекс 99|1,10,11,14,4",4,Райт-Рииво Лаане,14,Обрад Томич,11,22,0,11,6,1.83,3.67
Локомотив Пловдив,"Девърл Рамзи, Кхалил Милър, Шоу Андерсън, Кръстомир Михов, Томислав Минков","Локомотив Пловдив|0,14,24,33,9",0,Девърл Рамзи,9,Томислав Минков,9,20,2,7,8,1.12,2.5
Балкан,"Джамари Блекмон, Джоунс Пагенкопф, Демонд Робинсън, Димитър Димитров, Илиян Пищиков","Балкан|0,10,3,34,7",10,Джоунс Пагенкопф,34,Димитър Димитров,8,20,4,4,7,1.14,2.86
Черно море Тича,"Алонзо Гафни, Георги Боянов, Джелани Уотсън-Гейл, Ламонт Уест, Николай Стоянов","Черно море Тича|0,24,3,5,8",3,Джелани Уотсън-Гейл,5,Ламонт Уест,8,20,4,4,4,2.0,5.0
Ботев 2012 Враца,"Михаил Калинов, Кортни Александър ii, Стефан Михайлов, Дейвид Хоутън, Георги Герганов","Ботев 2012 Враца|1,2,33,41,77",77,Георги Герганов,1,Михаил Калинов,7,19,5,2,7,1.0,2.71
Балкан,"Джамари Блекмон, Джоунс Пагенкопф, Демонд Робинсън, Димитър Димитров, Илиян Пищиков","Балкан|0,10,3,34,7",10,Джоунс Пагенкопф,7,Илиян Пищиков,7,19,5,2,5,1.4,3.8
Ботев 2012 Враца,"Михаил Калинов, Кортни Александър ii, Стефан Михайлов, Дейвид Хоутън, Георги Герганов","Ботев 2012 Враца|1,2,33,41,77",77,Георги Герганов,33,Стефан Михайлов,6,18,6,0,5,1.2,3.6
Рилски спортист,"Алън Арнет, Деян Карамфилов, Александър Георгиев, Мирослав Васов, Майкъл Едуардс","Рилски спортист|0,1,12,23,7",1,Деян Карамфилов,23,Мирослав Васов,6,17,5,1,4,1.5,4.25
Черно море Тича,"Алонзо Гафни, Георги Боянов, Джелани Уотсън-Гейл, Ламонт Уест, Николай Стоянов","Черно море Тича|0,24,3,5,8",0,Алонзо Гафни,24,Георги Боянов,7,17,3,4,6,1.17,2.83
Локомотив Пловдив,"Девърл Рамзи, Кхалил Милър, Шоу Андерсън, Кръстомир Михов, Томислав Минков","Локомотив Пловдив|0,14,24,33,9",9,Томислав Минков,24,Шоу Андерсън,6,17,5,1,4,1.5,4.25
Черно море Тича,"Алонзо Гафни, Георги Боянов, Джелани Уотсън-Гейл, Ламонт Уест, Николай Стоянов","Черно море Тича|0,24,3,5,8",5,Ламонт Уест,24,Георги Боянов,7,17,3,4,6,1.17,2.83
Локомотив Пловдив,"Девърл Рамзи, Кхалил Милър, Кръстомир Михов, Грант Сингълтън, Томислав Минков","Локомотив Пловдив|0,14,33,5,9",0,Девърл Рамзи,14,Кхалил Милър,7,16,2,5,6,1.17,2.67
Ботев 2012 Враца,"Михаил Калинов, Стефан Михайлов, Дейвид Хоутън, Иво Корестилов, Георги Герганов","Ботев 2012 Враца|1,33,41,6,77",1,Михаил Калинов,41,Дейвид Хоутън,8,16,0,8,7,1.14,2.29
Ботев 2012 Враца,"Михаил Калинов, Стефан Михайлов, Дейвид Хоутън, Иво Корестилов, Георги Герганов","Ботев 2012 Враца|1,33,41,6,77",1,Михаил Калинов,33,Стефан Михайлов,6,16,4,2,5,1.2,3.2
Ботев 2012 Враца,"Михаил Калинов, Стефан Михайлов, Дейвид Хоутън, Иво Корестилов, Георги Герганов","Ботев 2012 Враца|1,33,41,6,77",1,Михаил Калинов,6,Иво Корестилов,7,16,2,5,5,1.4,3.2
Локомотив Пловдив,"Кхалил Милър, Йоанис Кикрилис, Шоу Андерсън, Кръстомир Михов, Грант Сингълтън","Локомотив Пловдив|14,21,24,33,5",5,Грант Сингълтън,14,Кхалил Милър,6,15,3,3,4,1.5,3.75
Рилски спортист,"Алън Арнет, Деян Карамфилов, Александър Георгиев, Мирослав Васов, Майкъл Едуардс","Рилски спортист|0,1,12,23,7",12,Александър Георгиев,7,Майкъл Едуардс,6,15,3,3,4,1.5,3.75
Черно море Тича,"Алонзо Гафни, Георги Боянов, Джелани Уотсън-Гейл, Ламонт Уест, Николай Стоянов","Черно море Тича|0,24,3,5,8",5,Ламонт Уест,0,Алонзо Гафни,7,15,1,6,7,1.0,2.14
Локомотив Пловдив,"Кхалил Милър, Йоанис Кикрилис, Шоу Андерсън, Грант Сингълтън, Томислав Минков","Локомотив Пловдив|14,21,24,5,9",5,Грант Сингълтън,14,Кхалил Милър,6,14,2,4,4,1.5,3.5
Ботев 2012 Враца,"Михаил Калинов, Кортни Александър ii, Стефан Михайлов, Дейвид Хоутън, Георги Герганов","Ботев 2012 Враца|1,2,33,41,77",33,Стефан Михайлов,1,Михаил Калинов,5,14,4,1,5,1.0,2.8
Берое-Стара Загора,"Джален Бенджамин, Милен Захариев, Александър Матушев, Дейлън Уилямс, Брет Риид","Берое-Стара Загора|13,19,27,7,9",13,Джален Бенджамин,27,Александър Матушев,6,14,2,4,5,1.2,2.8
Локомотив Пловдив,"Девърл Рамзи, Кхалил Милър, Кръстомир Михов, Грант Сингълтън, Томислав Минков","Локомотив Пловдив|0,14,33,5,9",0,Девърл Рамзи,5,Грант Сингълтън,5,14,4,1,4,1.25,3.5
Локомотив Пловдив,"Девърл Рамзи, Кхалил Милър, Йоанис Кикрилис, Шоу Андерсън, Кръстомир Михов","Локомотив Пловдив|0,14,21,24,33",0,Девърл Рамзи,24,Шоу Андерсън,5,14,4,1,4,1.25,3.5
Ботев 2012 Враца,"Михаил Калинов, Станислав Хинков, Дейвид Хоутън, Иво Корестилов, Георги Герганов","Ботев 2012 Враца|1,24,41,6,77",77,Георги Герганов,24,Станислав Хинков,5,14,4,1,4,1.25,3.5
Балкан,"Джамари Блекмон, Травис Макконико, Тадж Грийн, Николай Грозев, Димитър Димитров","Балкан|0,1,12,33,34",1,Травис Макконико,34,Димитър Димитров,6,13,1,5,3,2.0,4.33
Локомотив Пловдив,"Девърл Рамзи, Кхалил Милър, Шоу Андерсън, Кръстомир Михов, Томислав Минков","Локомотив Пловдив|0,14,24,33,9",0,Девърл Рамзи,33,Кръстомир Михов,6,13,1,5,5,1.2,2.6
Локомотив Пловдив,"Кхалил Милър, Йоанис Кикрилис, Шоу Андерсън, Кръстомир Михов, Грант Сингълтън","Локомотив Пловдив|14,21,24,33,5",5,Грант Сингълтън,24,Шоу Андерсън,5,13,3,2,4,1.25,3.25
Черно море Тича,"Алонзо Гафни, Георги Боянов, Джелани Уотсън-Гейл, Ламонт Уест, Николай Стоянов","Черно море Тича|0,24,3,5,8",8,Николай Стоянов,3,Джелани Уотсън-Гейл,5,13,3,2,5,1.0,2.6
Рилски спортист,"Алън Арнет, Деян Карамфилов, Александър Георгиев, Мирослав Васов, Майкъл Едуардс","Рилски спортист|0,1,12,23,7",0,Алън Арнет,7,Майкъл Едуардс,5,13,3,2,4,1.25,3.25
Спартак Плевен,"Джейлан Макклауд, Мартин Русев, Кавон Скот, Ноел Браун, Мартин Сотиров","Спартак Плевен|1,2,21,24,4",1,Джейлан Макклауд,21,Кавон Скот,6,13,1,5,5,1.2,2.6
Черно море Тича,"Алонзо Гафни, Георги Боянов, Джелани Уотсън-Гейл, Венцислав Петков, Ламонт Уест","Черно море Тича|0,24,3,35,5",3,Джелани Уотсън-Гейл,0,Алонзо Гафни,6,13,1,5,6,1.0,2.17
Ботев 2012 Враца,"Михаил Калинов, Станислав Хинков, Стефан Михайлов, Дейвид Хоутън, Иво Корестилов","Ботев 2012 Враца|1,24,33,41,6",1,Михаил Калинов,6,Иво Корестилов,5,13,3,2,2,2.5,6.5
Рилски спортист,"Алън Арнет, Деян Карамфилов, Христо Бъчков, Майкъл Едуардс, Чавдар Костов","Рилски спортист|0,1,35,7,8",1,Деян Карамфилов,7,Майкъл Едуардс,5,13,3,2,3,1.67,4.33
Берое-Стара Загора,"Джален Бенджамин, Милен Захариев, Александър Матушев, Дейлън Уилямс, Брет Риид","Берое-Стара Загора|13,19,27,7,9",13,Джален Бенджамин,9,Брет Риид,6,12,0,6,5,1.2,2.4
