Home_Team,Home_Lineup,Away_Team,Away_Lineup,Games,Total_Seconds,Minutes,Possessions,Home_PTS,Home_FGM,Home_FGA,Home_FG%,Home_3PM,Home_3PA,Home_3P%,Home_FTM,Home_FTA,Home_FT%,Home_OREB,Home_DREB,Home_REB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PF,Away_PTS,Away_FGM,Away_FGA,Away_FG%,Away_3PM,Away_3PA,Away_3P%,Away_FTM,Away_FTA,Away_FT%,Away_OREB,Away_DREB,Away_REB,Away_AST,Away_STL,Away_BLK,Away_TOV,Away_PF,Home_POSS,Away_POSS,Home_OFF_RTG,Home_DEF_RTG,Home_NET_RTG,Away_OFF_RTG,Away_DEF_RTG,Away_NET_RTG,Point_Diff,Home_RIM_ATT,Home_RIM_MADE,Home_RIM%,Home_OTD_2PT_ATT,Home_OTD_2PT_MADE,Home_OTD_2PT%,Home_OTD_3PT_ATT,Home_OTD_3PT_MADE,Home_OTD_3PT%,Away_RIM_ATT,Away_RIM_MADE,Away_RIM%,Away_OTD_2PT_ATT,Away_OTD_2PT_MADE,Away_OTD_2PT%,Away_OTD_3PT_ATT,Away_OTD_3PT_MADE,Away_OTD_3PT%,Home_PASS_TO,Home_DRIBBLE_TO,Home_DEFENSE_TO,Home_MISC_TO,Away_PASS_TO,Away_DRIBBLE_TO,Away_DEFENSE_TO,Away_MISC_TO,Home_2ND_CHANCE_PTS,Home_FAST_BREAK_PTS,Home_PTS_OFF_TOV,Away_2ND_CHANCE_PTS,Away_FAST_BREAK_PTS,Away_PTS_OFF_TOV
Берое-Стара Загора,"Александър Матушев, Брет Риид, Дариъс Куинсбери, Дейлън Уилямс, Милен Захариев",Черно море Тича,"Алонзо Гафни, Георги Боянов, Джелани Уотсън-Гейл, Ламонт Уест, Николай Стоянов",1,824,13.7,25.2,30,12,22,54.5,1,4,25,5,6,83.3,4,6,10,3,1,2,5,6,35,14,24,58.3,4,8,50,3,4,75,2,6,8,10,3,1,2,6,25.4,25.1,118.3,139.5,-21.2,139.5,118.3,21.2,-5,12,9,75,3,0,0,2,0,0,7,5,71.4,4,2,50,1,0,0,2,3,0,0,1,1,0,0,4,7,0,2,4,11
Берое-Стара Загора,"Александър Матушев, Брет Риид, Дариъс Куинсбери, Дейлън Уилямс, Милен Захариев",Академик Бултекс 99,"Васил Бачев, Демаркъс Шарп, Джакуез Йоу, Николай Михайлов, Обрад Томич",1,738,12.3,24.3,26,9,21,42.9,2,6,33.3,6,7,85.7,2,5,7,6,5,0,2,3,35,14,22,63.6,6,9,66.7,1,2,50,2,7,9,10,2,1,5,5,23.2,25.4,111.9,137.6,-25.7,137.6,111.9,25.7,-9,6,3,50,6,3,50,0,0,0,10,6,60,3,2,66.7,0,0,0,2,0,0,0,2,3,0,0,2,7,7,3,14,4
Берое-Стара Загора,"Александър Матушев, Брет Риид, Дейлън Уилямс, Джален Бенджамин, Милен Захариев",Академик Бултекс 99,"Асен Великов, Васил Бачев, Джакуез Йоу, Николай Михайлов, Обрад Томич",2,709,11.8,22.8,27,11,21,52.4,1,5,20,4,6,66.7,3,7,10,3,5,0,2,6,17,7,18,38.9,0,8,0,3,3,100,2,7,9,5,2,2,6,7,22.4,22.7,120.4,74.9,45.5,74.9,120.4,-45.5,10,6,5,83.3,6,2,33.3,0,0,0,6,6,100,3,1,33.3,1,0,0,1,1,0,0,5,1,0,0,8,5,9,0,4,2
Локомотив Пловдив,"Девърл Рамзи, Йоанис Кикрилис, Кръстомир Михов, Кхалил Милър, Шоу Андерсън",Академик Бултекс 99,"Васил Бачев, Джакуез Йоу, Николай Михайлов, Обрад Томич, Райт-Рииво Лаане",1,650,10.8,21.6,31,11,19,57.9,4,9,44.4,5,6,83.3,0,7,7,8,2,2,0,4,25,9,20,45,1,10,10,6,7,85.7,3,7,10,6,0,1,2,6,21.6,21.5,143.3,116,27.2,116,143.3,-27.2,6,6,5,83.3,4,2,50,3,1,33.3,9,7,77.8,1,1,100,2,1,50,0,0,0,0,2,0,0,0,0,6,7,6,5,0
Шумен,"Владислав Станев, Джейлън Барр, Костадин Лазаров, Майкъл Марш, Уилям Елис",Балкан,"Демонд Робинсън, Джамари Блекмон, Джоунс Пагенкопф, Димитър Димитров, Илиян Пищиков",1,687,11.4,21.1,23,9,16,56.2,3,6,50,2,4,50,3,5,8,2,1,1,6,5,30,10,19,52.6,3,8,37.5,7,9,77.8,2,4,6,7,3,1,1,5,20.6,21.2,111.9,141.5,-29.5,141.5,111.9,29.5,-7,4,3,75,2,1,50,3,1,33.3,6,4,66.7,3,2,66.7,2,0,0,1,5,0,0,0,1,0,0,2,3,2,3,8,11
Балкан,"Демонд Робинсън, Джамари Блекмон, Джоунс Пагенкопф, Димитър Димитров, Илиян Пищиков",Миньор 2015,"Васил Попов, Джордан Тали, Игор Кесар, Лазар Станкович, Лъчезар Тошков",1,681,11.3,21.1,34,13,21,61.9,5,7,71.4,3,4,75,3,9,12,11,2,0,1,3,20,8,18,44.4,2,9,22.2,2,3,66.7,2,6,8,7,0,0,4,7,20.9,21.4,162.6,93.6,69.1,93.6,162.6,-69.1,14,8,7,87.5,6,1,16.7,2,1,50,9,6,66.7,0,0,0,2,0,0,0,1,0,0,1,1,0,2,5,8,4,3,1,0
Локомотив Пловдив,"Девърл Рамзи, Кръстомир Михов, Кхалил Милър, Томислав Минков, Шоу Андерсън",Балкан,"Джамари Блекмон, Димитър Димитров, Николай Грозев, Тадж Грийн, Травис Макконико",2,630,10.5,21.0,30,11,19,57.9,6,8,75,2,2,100,1,9,10,7,2,2,2,3,17,6,19,31.6,1,7,14.3,4,4,100,1,7,8,6,1,0,2,5,20.8,21.4,144.2,79.6,64.6,79.6,144.2,-64.6,13,8,4,50,2,1,50,3,3,100,9,4,44.4,3,1,33.3,2,1,50,1,1,0,0,0,2,0,0,2,7,2,0,5,2
Спартак Плевен,"Джулиен Люйс, Кавон Скот, Мартин Русев, Мартин Сотиров, Ноел Браун",Ботев 2012 Враца,"Георги Герганов, Дейвид Хоутън, Михаил Калинов, Станислав Хинков, Стефан Михайлов",1,569,9.5,19.4,19,7,16,43.8,3,6,50,2,3,66.7,3,6,9,5,1,0,6,4,14,6,12,50,0,4,0,2,3,66.7,0,7,7,3,3,1,5,5,20.4,18.3,93,76.4,16.6,76.4,93,-16.6,5,7,4,57.1,1,0,0,1,0,0,7,5,71.4,0,0,0,0,0,0,3,3,0,0,2,2,0,1,6,0,2,0,4,4
Черно море Тича,"Алонзо Гафни, Георги Боянов, Джелани Уотсън-Гейл, Ламонт Уест, Николай Стоянов",Берое-Стара Загора,"Айзък Джесъп, Александър Матушев, Брет Риид, Дешон Пърсънс, Милен Захариев",1,528,8.8,19.3,17,6,18,33.3,2,7,28.6,3,3,100,2,7,9,4,5,1,3,3,10,4,11,36.4,1,5,20,1,4,25,1,8,9,3,3,0,7,4,19.8,18.8,86.1,53.1,32.9,53.1,86.1,-32.9,7,8,3,37.5,3,1,33.3,0,0,0,4,1,25,1,1,100,0,0,0,1,2,0,0,2,4,0,1,1,7,5,0,0,0
Академик Бултекс 99,"Васил Бачев, Демаркъс Шарп, Джакуез Йоу, Константин Паисиев, Обрад Томич",Шумен,"Джейлън Барр, Костадин Лазаров, Майкъл Марш, Мирослав Денчев, Уилям Елис",1,544,9.1,18.6,20,9,16,56.2,1,4,25,1,7,14.3,2,6,8,8,1,0,2,3,21,8,15,53.3,1,3,33.3,4,4,100,1,8,9,7,2,0,2,7,19.6,17.7,102.1,118.7,-16.6,118.7,102.1,16.6,-1,11,8,72.7,1,0,0,0,0,0,9,5,55.6,2,1,50,1,0,0,1,1,0,0,2,0,0,0,3,6,2,0,10,2
