Team,Lineup,GAMES,TOTAL_TIME,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,NET_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Черно море Тича,"Алонзо Гафни, Георги Боянов, Джелани Уотсън-Гейл, Ламонт Уест, Николай Стоянов",24,14642,557,202,411,49.1,55,166,33.1,98,130,75.4,56,144,200,124,53,23,71,127,414,75.5,77.6,73.3,30.9,32.7,55.8,59.5,61.4,29.5,72,10.7,31.6,40.4,117.7,475,180,381,47.2,42,137,30.7,73,99,73.7,56,134,190,107,31,9,83,122,384,52.8,55.9,16.4,28,36,106.2,11.5,171,118,69,38,14,36.8,27,11,40.7,27,31,0,13,158,99,62.7,49,26,53.1,20,6,30,44,28,0,11
Локомотив Пловдив,"Девърл Рамзи, Кхалил Милър, Шоу Андерсън, Кръстомир Михов, Томислав Минков",27,11022,412,148,295,50.2,53,118,44.9,63,76,82.9,27,135,162,97,29,22,45,68,326,75,74.8,75.1,32.1,31.9,59.2,62.7,65.5,18.9,69.2,9.6,25.8,40,119.9,335,129,337,38.3,33,131,25.2,44,58,75.9,60,116,176,73,30,6,51,94,294,43.2,46.2,12.3,30.8,38.9,97.1,22.8,108,66,61.1,40,19,47.5,20,12,60,15,24,0,6,138,74,53.6,37,13,35.1,25,8,32,24,19,0,8
Ботев 2012 Враца,"Михаил Калинов, Кортни Александър ii, Стефан Михайлов, Дейвид Хоутън, Георги Герганов",13,12105,402,145,306,47.4,34,88,38.6,78,115,67.8,34,125,159,88,29,13,51,87,301,74,74,74,32.4,32.4,52.9,56.4,60.7,20,74.4,10.3,37.6,28.8,107.7,419,160,328,48.8,39,108,36.1,60,78,76.9,43,136,179,93,33,12,57,99,300,54.7,57.8,13.6,25.6,32.9,112.2,-4.5,132,74,56.1,59,24,40.7,27,11,40.7,23,24,0,4,153,92,60.1,51,21,41.2,22,6,27.3,27,21,0,9
Локомотив Пловдив,"Девърл Рамзи, Кхалил Милър, Йоанис Кикрилис, Шоу Андерсън, Томислав Минков",25,8204,302,112,240,46.7,22,84,26.2,56,73,76.7,24,92,116,59,30,11,26,59,235,77.8,78.9,76.7,30.4,31.3,51.2,55.5,52.7,20.7,76.7,7.3,30.4,35,111.9,243,89,220,40.5,28,88,31.8,37,52,71.2,28,92,120,64,17,9,52,71,229,46.8,50,17.6,23.3,40,92.7,19.3,91,58,63.7,46,26,56.5,12,5,41.7,16,8,0,2,81,45,55.6,27,12,44.4,9,2,22.2,33,14,0,5
Рилски спортист,"Алън Арнет, Деян Карамфилов, Александър Георгиев, Мирослав Васов, Майкъл Едуардс",21,7317,237,88,185,47.6,22,70,31.4,39,51,76.5,17,64,81,57,16,9,33,65,203,71.4,72.5,70.3,33.1,34.2,53.5,57.1,64.8,18.7,78,11.1,27.6,37.8,107.2,237,86,183,47,20,72,27.8,45,59,76.3,18,74,92,52,23,7,28,57,190,52.5,56.7,11.8,22,39.3,110.7,-3.4,73,49,67.1,33,12,36.4,10,3,30,22,10,0,1,73,48,65.8,29,14,48.3,16,5,31.2,17,7,0,4
Берое-Стара Загора,"Джален Бенджамин, Милен Захариев, Александър Матушев, Дейлън Уилямс, Брет Риид",15,6884,276,104,203,51.2,20,61,32.8,48,68,70.6,28,60,88,54,28,11,23,60,198,78.6,78.5,78.8,30.6,30.5,56.2,59.2,51.9,29.2,71.4,7.4,33.5,30,122.7,261,100,192,52.1,25,73,34.2,36,48,75,24,68,92,74,16,12,41,62,206,58.6,61.2,16.1,28.6,38,115.5,7.2,81,50,61.7,43,22,51.2,5,2,40,12,8,0,3,71,53,74.6,29,15,51.7,12,3,25,23,14,0,4
Ботев 2012 Враца,"Михаил Калинов, Стефан Михайлов, Дейвид Хоутън, Иво Корестилов, Георги Герганов",20,6949,244,95,193,49.2,27,72,37.5,27,41,65.9,22,63,85,57,19,9,30,56,197,73.2,74.9,71.4,32.0,33.6,56.2,57.8,60,22.9,79.7,10.1,21.2,37.3,112.4,236,83,169,49.1,25,69,36.2,45,62,72.6,16,74,90,63,19,15,29,51,187,56.5,60.1,12.9,20.3,40.8,114.2,-1.8,72,46,63.9,32,13,40.6,14,4,28.6,16,11,0,3,73,48,65.8,22,8,36.4,8,1,12.5,16,11,0,2
Локомотив Пловдив,"Девърл Рамзи, Кхалил Милър, Кръстомир Михов, Грант Сингълтън, Томислав Минков",19,6437,242,82,176,46.6,23,69,33.3,55,61,90.2,15,74,89,56,19,7,27,60,184,78.1,79.1,77.2,30.4,31.1,53.1,59.7,68.3,17.6,79.6,9.4,34.7,39.2,114.1,224,79,171,46.2,29,76,38.2,37,57,64.9,19,70,89,48,11,8,31,52,178,54.7,57.1,13.7,20.4,44.4,108.2,5.9,71,44,62,31,13,41.9,13,6,46.2,13,9,0,5,62,35,56.5,21,10,47.6,18,8,44.4,17,9,0,5
Балкан,"Джамари Блекмон, Джоунс Пагенкопф, Демонд Робинсън, Димитър Димитров, Илиян Пищиков",11,6376,239,92,192,47.9,24,73,32.9,31,41,75.6,26,80,106,57,20,7,16,42,156,73.9,74.1,73.7,32.4,32.5,54.2,56.9,62,27.4,80,5.7,21.4,38,121.5,181,68,167,40.7,26,71,36.6,19,32,59.4,20,69,89,38,8,7,36,56,152,48.5,50,16.6,20,42.5,92.4,29.1,76,51,67.1,33,14,42.4,11,3,27.3,8,7,0,1,55,25,45.5,28,13,46.4,21,9,42.9,14,17,0,5
Академик Бултекс 99,"Джакуез Йоу, Васил Бачев, Николай Михайлов, Обрад Томич, Райт-Рииво Лаане",11,5808,197,71,152,46.7,14,59,23.7,41,54,75.9,23,61,84,50,15,5,31,50,154,73.9,75.1,72.6,31.9,33.0,51.3,56,70.4,28.7,73.5,12.1,35.5,38.8,108.3,194,69,154,44.8,24,67,35.8,32,43,74.4,22,57,79,50,21,12,27,59,151,52.6,56.1,13.5,26.5,43.5,110.3,-2,77,51,66.2,11,5,45.5,11,5,45.5,20,8,0,3,52,29,55.8,23,13,56.5,14,6,42.9,8,16,0,3
