Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
BK KVIS Pardubice,"Ryan Everett Moffatt, Luboš Kovář, Zed Jackson Key, Robert Lee Bonham, Jamonda Roshawn Bryant","BK KVIS Pardubice|13,21,23,3,4",3,Robert Lee Bonham,13,Ryan Everett Moffatt,12,34,10,2,10,1.2,3.4
BK KVIS Pardubice,"Ryan Everett Moffatt, Luboš Kovář, Zed Jackson Key, Robert Lee Bonham, Jamonda Roshawn Bryant","BK KVIS Pardubice|13,21,23,3,4",4,Jamonda Roshawn Bryant,21,Luboš Kovář,13,33,7,6,12,1.08,2.75
BK KVIS Pardubice,"Ryan Everett Moffatt, Luboš Kovář, Zed Jackson Key, Robert Lee Bonham, Jamonda Roshawn Bryant","BK KVIS Pardubice|13,21,23,3,4",4,Jamonda Roshawn Bryant,23,Zed Jackson Key,13,26,0,13,11,1.18,2.36
BK KVIS Pardubice,"Ryan Everett Moffatt, Luboš Kovář, Zed Jackson Key, Robert Lee Bonham, Jamonda Roshawn Bryant","BK KVIS Pardubice|13,21,23,3,4",3,Robert Lee Bonham,23,Zed Jackson Key,11,22,0,11,9,1.22,2.44
SLUNETA  Ústí nad Labem,"Adam Pecháček, Nicholas Johnson, Josef Potoček, Tomáš Vyoral, Ladislav Pecka","SLUNETA  Ústí nad Labem|0,10,31,4,44",4,Tomáš Vyoral,10,Nicholas Johnson,8,20,4,4,6,1.33,3.33
BK Opava,"Wesley Lavon Person Jr, Clevon Brown Jr, Šimon Puršl, Radovan Kouřil, Jakub Slavík","BK Opava|1,13,20,21,33",21,Radovan Kouřil,13,Clevon Brown Jr,8,19,3,5,4,2.0,4.75
BK KVIS Pardubice,"Ryan Everett Moffatt, Luboš Kovář, Zed Jackson Key, Robert Lee Bonham, Jamonda Roshawn Bryant","BK KVIS Pardubice|13,21,23,3,4",4,Jamonda Roshawn Bryant,13,Ryan Everett Moffatt,7,19,5,2,6,1.17,3.17
ERA Basketball Nymburk,"Jaromír Bohačík, Ondřej Sehnal, Martin Kříž, Marcus Armani Santos - Silva, František Rylich","ERA Basketball Nymburk|17,19,31,7,73",19,Ondřej Sehnal,17,Jaromír Bohačík,7,19,5,2,5,1.4,3.8
SLUNETA  Ústí nad Labem,"Adam Pecháček, Nicholas Johnson, Josef Potoček, Tomáš Vyoral, Ladislav Pecka","SLUNETA  Ústí nad Labem|0,10,31,4,44",4,Tomáš Vyoral,0,Adam Pecháček,8,18,2,6,6,1.33,3.0
BK Opava,"Wesley Lavon Person Jr, Clevon Brown Jr, Radovan Kouřil, Jakub Slavík, Jan Švandrlík","BK Opava|1,13,21,33,8",21,Radovan Kouřil,8,Jan Švandrlík,6,18,6,0,5,1.2,3.6
BK KVIS Pardubice,"Ryan Everett Moffatt, Luboš Kovář, Zed Jackson Key, Robert Lee Bonham, Jamonda Roshawn Bryant","BK KVIS Pardubice|13,21,23,3,4",13,Ryan Everett Moffatt,4,Jamonda Roshawn Bryant,7,17,3,4,6,1.17,2.83
