Home_Team,Home_Lineup,Away_Team,Away_Lineup,Games,Total_Seconds,Minutes,Possessions,Home_PTS,Home_FGM,Home_FGA,Home_FG%,Home_3PM,Home_3PA,Home_3P%,Home_FTM,Home_FTA,Home_FT%,Home_OREB,Home_DREB,Home_REB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PF,Away_PTS,Away_FGM,Away_FGA,Away_FG%,Away_3PM,Away_3PA,Away_3P%,Away_FTM,Away_FTA,Away_FT%,Away_OREB,Away_DREB,Away_REB,Away_AST,Away_STL,Away_BLK,Away_TOV,Away_PF,Home_POSS,Away_POSS,Home_OFF_RTG,Home_DEF_RTG,Home_NET_RTG,Away_OFF_RTG,Away_DEF_RTG,Away_NET_RTG,Point_Diff,Home_RIM_ATT,Home_RIM_MADE,Home_RIM%,Home_OTD_2PT_ATT,Home_OTD_2PT_MADE,Home_OTD_2PT%,Home_OTD_3PT_ATT,Home_OTD_3PT_MADE,Home_OTD_3PT%,Away_RIM_ATT,Away_RIM_MADE,Away_RIM%,Away_OTD_2PT_ATT,Away_OTD_2PT_MADE,Away_OTD_2PT%,Away_OTD_3PT_ATT,Away_OTD_3PT_MADE,Away_OTD_3PT%,Home_PASS_TO,Home_DRIBBLE_TO,Home_DEFENSE_TO,Home_MISC_TO,Away_PASS_TO,Away_DRIBBLE_TO,Away_DEFENSE_TO,Away_MISC_TO,Home_2ND_CHANCE_PTS,Home_FAST_BREAK_PTS,Home_PTS_OFF_TOV,Away_2ND_CHANCE_PTS,Away_FAST_BREAK_PTS,Away_PTS_OFF_TOV
SK Slavia Praha,"Jan Matušík, Matyáš Ježek, Matěj Dáňa, Petr Macháč, Rubin Patrick Jones",BK Olomoucko,"Dominik Žák, Kyler Filewich, Lamb Autrey, Marek Ayers Nelson, Ondřej Šiška",1,615,10.2,19.1,27,12,21,57.1,3,6,50,0,0,0,4,6,10,7,2,0,4,4,16,6,15,40,0,5,0,4,4,100,3,4,7,4,4,0,4,3,20.2,17.6,133.8,91.2,42.6,91.2,133.8,-42.6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BK Olomoucko,"Jonathan Leonard Andre, Kobe Elvis, Kyler Filewich, Marek Ayers Nelson, Ondřej Šiška",BK Opava,"Clevon Brown Jr, Jakub Slavík, Jan Švandrlík, Radovan Kouřil, Wesley Lavon Person Jr",1,613,10.2,17.6,24,10,18,55.6,3,10,30,1,3,33.3,1,8,9,5,0,0,0,5,19,8,17,47.1,2,9,22.2,1,2,50,2,7,9,4,0,0,1,2,18.2,17.0,131.5,112.1,19.4,112.1,131.5,-19.4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERA Basketball Nymburk,"František Rylich, Jaromír Bohačík, Marcus Armani Santos - Silva, Martin Kříž, Ondřej Sehnal",BK Opava,"Clevon Brown Jr, Isaiah John Gray, Jakub Slavík, Jan Švandrlík, Kryštof Kavan",2,494,8.2,17.1,26,8,15,53.3,6,11,54.5,4,4,100,4,4,8,8,3,0,4,6,21,8,12,66.7,1,2,50,4,6,66.7,0,3,3,5,3,0,3,6,16.5,17.6,157.8,119,38.7,119,157.8,-38.7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BK GAPA Hradec Králové,"David Škranc, Kareem Lamonte Brewton, Martin Roub, Matija Popović, Tomáš Merta",BK Olomoucko,"Adam Goga, Jaren Jamir Holmes, Jonathan Leonard Andre, Kyler Filewich, Marek Ayers Nelson",1,508,8.5,16.0,11,4,13,30.8,1,6,16.7,2,2,100,3,9,12,2,0,2,5,2,16,6,13,46.2,3,5,60,1,3,33.3,0,6,6,5,3,0,2,3,15.7,16.3,70.2,98,-27.8,98,70.2,27.8,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BK GAPA Hradec Králové,"Cody Chevell Christian John, Kameron Jamal Chatman, Lassi Paavo Verner Nikkarinen, Martin Roub, Tomáš Dvořák",PUMPA Basket Brno,"Adam Kejval, David Jelínek, Milan Tomáš Stráněl, Petr Křivánek, Radek Farský",1,553,9.2,15.8,19,7,15,46.7,3,9,33.3,2,2,100,2,4,6,5,0,0,1,4,25,11,19,57.9,3,6,50,0,0,0,2,4,6,5,1,1,0,4,14.0,16.1,135.5,154.8,-19.4,154.8,135.5,19.4,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BK Olomoucko,"Jonathan Leonard Andre, Kobe Elvis, Kyler Filewich, Marek Ayers Nelson, Ondřej Šiška",NH Ostrava,"Adam Číž, Julian Thomas Tane Roche, Lukáš Palyza, Michal Svoboda, Mikuláš Čank",1,501,8.3,15.1,24,9,14,64.3,4,6,66.7,2,2,100,3,5,8,7,2,1,3,3,18,7,19,36.8,4,9,44.4,0,0,0,5,2,7,6,3,0,3,1,14.7,15.6,163.6,115.5,48.1,115.5,163.6,-48.1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLUNETA  Ústí nad Labem,"Adam Pecháček, Isaac Davidson, Jayhlon Young, Ladislav Pecka, Nicholas Johnson",PUMPA Basket Brno,"David Jelínek, Kevin Chukwuemeka Kalu, Matěj Rychtecký, Viktor Půlpán, Šimon Svoboda",1,501,8.3,14.9,17,6,14,42.9,1,6,16.7,4,4,100,2,5,7,4,1,0,1,3,16,8,12,66.7,0,3,0,0,3,0,1,6,7,7,1,0,3,4,14.6,15.6,116.3,102.5,13.8,102.5,116.3,-13.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BK Olomoucko,"Dominik Žák, Kyler Filewich, Lamb Autrey, Marek Ayers Nelson, Ondřej Šiška",BK GAPA Hradec Králové,"David Škranc, Kameron Jamal Chatman, Lassi Paavo Verner Nikkarinen, Martin Roub, Tomáš Merta",1,452,7.5,14.6,25,11,17,64.7,2,4,50,1,1,100,3,6,9,6,1,0,2,0,14,6,13,46.2,2,4,50,0,0,0,1,3,4,4,1,0,1,2,16.2,12.9,154,108.3,45.8,108.3,154,-45.8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERA Basketball Nymburk,"František Rylich, Jaromír Bohačík, Martin Kříž, Ondřej Sehnal, Wesley Dreamer",SK Slavia Praha,"David Böhm, Matyáš Ježek, Matěj Dáňa, Petr Macháč, Rubin Patrick Jones",1,427,7.1,14.3,16,8,19,42.1,0,7,0,0,0,0,3,5,8,3,0,0,0,5,22,8,14,57.1,5,9,55.6,1,3,33.3,2,5,7,4,0,0,1,2,14.6,14.5,109.7,151.9,-42.2,151.9,109.7,42.2,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERA Basketball Nymburk,"František Rylich, Jaromír Bohačík, Marcus Armani Santos - Silva, Martin Kříž, Ondřej Sehnal",BK KVIS Pardubice,"Adam Lukeš, Jamonda Roshawn Bryant, Luboš Kovář, Robert Lee Bonham, Zed Jackson Key",2,480,8.0,14.1,16,7,15,46.7,2,5,40,0,2,0,4,2,6,6,2,0,4,5,13,4,8,50,2,4,50,3,3,100,2,3,5,4,2,0,7,3,15.0,14.2,106.7,91.7,15.1,91.7,106.7,-15.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BK Olomoucko,"Dominik Žák, Jonathan Leonard Andre, Kyler Filewich, Marek Ayers Nelson, Ondřej Šiška",SK Slavia Praha,"David Böhm, Jan Matušík, Matyáš Ježek, Matěj Dáňa, Ricky Jamel Clemons",1,439,7.3,13.6,16,5,11,45.5,2,4,50,4,5,80,3,5,8,3,1,0,4,4,10,5,13,38.5,0,5,0,0,1,0,4,2,6,1,3,0,4,3,13.3,13.6,119.9,73.3,46.5,73.3,119.9,-46.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLUNETA  Ústí nad Labem,"Josef Potoček, Kimani Lawrence, Ladislav Pecka, Nicholas Johnson, Tomáš Vyoral",ERA Basketball Nymburk,"František Rylich, Jaquan Lawrence, Jaromír Bohačík, Jay Shumate, Ondřej Sehnal",1,377,6.3,13.2,20,8,10,80,4,5,80,0,2,0,0,3,3,5,2,1,2,3,22,7,13,53.8,4,8,50,4,4,100,3,4,7,5,1,0,2,2,12.9,13.6,155.3,162.4,-7.1,162.4,155.3,7.1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUMPA Basket Brno,"Adam Kejval, Jacob Austin Groves, Matěj Rychtecký, Petr Křivánek, Ross Anthony Williams",BK Olomoucko,"Adam Goga, Jaren Jamir Holmes, Jonathan Leonard Andre, Kyler Filewich, Marek Ayers Nelson",1,366,6.1,13.1,21,9,11,81.8,1,2,50,2,2,100,0,4,4,4,2,1,2,2,12,5,10,50,1,4,25,1,1,100,1,1,2,4,0,1,3,3,13.9,12.4,151.3,97,54.3,97,151.3,-54.3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BK KVIS Pardubice,"Jamonda Roshawn Bryant, Luboš Kovář, Robert Lee Bonham, Ryan Everett Moffatt, Zed Jackson Key",BK Olomoucko,"Adam Goga, Jaren Jamir Holmes, Jonathan Leonard Andre, Kobe Elvis, Kyler Filewich",1,480,8.0,12.8,23,9,15,60,3,6,50,2,2,100,2,4,6,5,0,1,0,0,15,7,14,50,1,4,25,0,0,0,3,4,7,3,0,0,1,1,13.7,11.8,167.4,127.2,40.2,127.2,167.4,-40.2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BK Opava,"Clevon Brown Jr, Isaiah John Gray, Jakub Slavík, Jan Švandrlík, Kryštof Kavan",PUMPA Basket Brno,"Adam Kejval, David Jelínek, Ryker Broden Cisarik, Viktor Půlpán, Šimon Svoboda",2,438,7.3,12.7,16,5,11,45.5,2,4,50,4,4,100,2,5,7,4,2,2,2,2,6,3,11,27.3,0,3,0,0,0,0,3,4,7,3,2,1,5,3,12.6,12.8,126.8,46.9,79.9,46.9,126.8,-79.9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLUNETA  Ústí nad Labem,"Ahmad Rand, Filip Kábrt, Isaac Davidson, Ladislav Pecka, Tomáš Vyoral",BK Opava,"Clevon Brown Jr, Isaiah John Gray, Jakub Slavík, Jan Švandrlík, Wesley Lavon Person Jr",1,413,6.9,12.6,11,4,13,30.8,0,2,0,3,4,75,4,3,7,5,1,2,2,4,18,7,12,58.3,2,4,50,2,2,100,1,3,4,4,1,0,2,4,11.3,13.5,97.7,132.9,-35.2,132.9,97.7,35.2,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NH Ostrava,"Keenon Cole, Lukáš Palyza, Lynn Terence Greer, Michal Svoboda, Samuel Dennis Godwin",SLUNETA  Ústí nad Labem,"Adam Pecháček, Filip Kábrt, Isaac Davidson, Jayhlon Young, Tomáš Vyoral",1,393,6.5,12.5,19,7,12,58.3,3,5,60,2,2,100,1,2,3,5,1,1,1,2,21,8,12,66.7,2,3,66.7,3,3,100,2,4,6,3,1,0,1,2,12.8,12.2,148.3,172.4,-24.1,172.4,148.3,24.1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BK KVIS Pardubice,"Jamonda Roshawn Bryant, Luboš Kovář, Robert Lee Bonham, Ryan Everett Moffatt, Zed Jackson Key",NH Ostrava,"Adam Číž, Keenon Cole, Lukáš Palyza, Mikuláš Čank, Samuel Dennis Godwin",1,390,6.5,12.5,15,6,12,50,2,7,28.6,1,2,50,2,2,4,3,2,0,2,4,14,6,11,54.5,2,4,50,0,0,0,2,4,6,6,0,0,4,1,12.7,12.3,117.7,113.6,4.1,113.6,117.7,-4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NH Ostrava,"Adam Číž, Elias Cato, Michal Svoboda, Pavel Novák, Samuel Dennis Godwin",BK KVIS Pardubice,"Adam Lukeš, Jakub Tůma, Jamonda Roshawn Bryant, Ryan Everett Moffatt, Zed Jackson Key",1,393,6.5,12.5,13,6,11,54.5,1,3,33.3,0,0,0,1,3,4,5,2,0,2,6,16,5,10,50,2,4,50,4,5,80,2,4,6,4,2,0,3,1,11.9,13.1,109,122.5,-13.5,122.5,109,13.5,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLUNETA  Ústí nad Labem,"Adam Pecháček, Isaac Davidson, Jayhlon Young, Ladislav Pecka, Tomáš Vyoral",BK Opava,"Clevon Brown Jr, Isaiah John Gray, Jakub Slavík, Jan Švandrlík, Wesley Lavon Person Jr",1,408,6.8,12.4,13,6,13,46.2,1,5,20,0,0,0,2,2,4,0,0,1,2,3,17,5,14,35.7,3,11,27.3,4,4,100,3,5,8,3,1,1,1,2,12.9,11.0,101.1,154.8,-53.7,154.8,101.1,53.7,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BK KVIS Pardubice,"Jamonda Roshawn Bryant, Luboš Kovář, Robert Lee Bonham, Ryan Everett Moffatt, Zed Jackson Key",PUMPA Basket Brno,"David Jelínek, Kevin Chukwuemeka Kalu, Milan Tomáš Stráněl, Petr Křivánek, Radek Farský",1,424,7.1,12.3,8,2,12,16.7,1,5,20,3,4,75,2,1,3,3,1,0,0,1,26,9,10,90,6,6,100,2,2,100,0,9,9,5,0,0,2,3,11.8,12.9,67.7,201.9,-134.2,201.9,67.7,134.2,-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BK Opava,"Clevon Brown Jr, František Váňa, Isaiah John Gray, Jakub Slavík, Kryštof Kavan",ERA Basketball Nymburk,"František Rylich, Jaromír Bohačík, Marcus Armani Santos - Silva, Martin Kříž, Ondřej Sehnal",1,322,5.4,12.2,12,5,9,55.6,1,2,50,1,2,50,2,3,5,2,1,0,5,6,19,6,8,75,2,3,66.7,5,6,83.3,0,2,2,5,3,0,1,2,12.7,11.6,94.2,163.2,-69,163.2,94.2,69,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NH Ostrava,"Adam Číž, Keenon Cole, Lukáš Palyza, Lynn Terence Greer, Samuel Dennis Godwin",USK Praha,"Dalibor Vlk, Jalen Terence Montgomery, Matěj Šafařík, Terry Henderson Jr., Touko Tainamo",1,384,6.4,12.1,18,5,8,62.5,1,2,50,7,8,87.5,1,8,9,4,0,2,2,4,10,4,16,25,2,8,25,0,0,0,4,2,6,1,1,0,0,6,12.4,11.7,144.6,85.3,59.3,85.3,144.6,-59.3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BK GAPA Hradec Králové,"David Škranc, Kameron Jamal Chatman, Lassi Paavo Verner Nikkarinen, Martin Roub, Tomáš Merta",SK Slavia Praha,"David Böhm, Jan Matušík, Matyáš Ježek, Matěj Dáňa, Rubin Patrick Jones",1,363,6.0,12.1,8,3,6,50,0,3,0,2,3,66.7,0,5,5,2,1,1,5,3,13,5,11,45.5,1,2,50,2,2,100,1,3,4,3,1,0,1,3,12.3,11.8,64.9,110.1,-45.1,110.1,64.9,45.1,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BK Olomoucko,"Dominik Žák, Kobe Elvis, Kyler Filewich, Marek Ayers Nelson, Ondřej Šiška",BK KVIS Pardubice,"Jamonda Roshawn Bryant, Luboš Kovář, Robert Lee Bonham, Ryan Everett Moffatt, Zed Jackson Key",1,429,7.2,11.8,18,7,14,50,4,9,44.4,0,1,0,2,6,8,5,0,0,1,2,7,3,12,25,1,6,16.7,0,0,0,2,6,8,2,0,0,1,2,13.6,10.6,132.7,66.1,66.6,66.1,132.7,-66.6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
