Player,Team,Numbers,Name_Variations,Teammates,Games,Minutes,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PTS_AST,TPC,TPC/G,TPC/100,OFF_RTG,DEF_RTG,NET_RTG,eFG%,TS%,AST%,TOV%,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
A. Dawes,BK ARMEX ENERGY Děčín,1,A. Dawes,"F. Kroutil, J. Edwards, J. Štěrba, T. Pomikálek",8,35.2,16,6,13,46.2,4,7,57.1,0,0,0,0,4,4,4,0,0,6,2,18,0,16,2.0,26.6,91.3,0,91.3,61.5,61.5,66.7,26.1,2,2,100,3,0,0,4,2,50,4,2,0,0,0,0,0
A. Dawes,BK ARMEX ENERGY Děčín,1,A. Dawes,"J. Edwards, J. Štěrba, Michal Grill, T. Pomikálek",5,17.0,12,5,11,45.5,2,5,40.0,0,1,0.0,0,4,4,2,1,0,0,0,11,0,12,2.4,40.1,86.8,0,86.8,54.5,52.4,40.0,0.0,4,2,50,3,1,33.3,2,1,50,0,0,0,0,6,4,2
A. Dawes,BK ARMEX ENERGY Děčín,1,A. Dawes,"J. Edwards, J. Štěrba, T. Pomikálek, Tadeáš Slowiak",4,15.4,4,1,5,20.0,0,1,0.0,2,2,100.0,0,2,2,4,0,0,0,0,6,0,4,1.0,13.6,115.8,0,115.8,20.0,34.0,400.0,0.0,0,0,0,3,1,33.3,1,0,0,0,0,0,0,0,2,0
A. Dawes,BK ARMEX ENERGY Děčín,1,A. Dawes,"F. Kroutil, J. Edwards, O. Belikov, T. Pomikálek",6,12.8,20,5,11,45.5,2,5,40.0,8,9,88.9,0,2,2,3,1,0,1,0,15,0,20,3.3,80.5,120.7,0,120.7,54.5,66.8,60.0,5.3,1,0,0,4,2,50,2,1,50,1,0,0,0,6,1,5
A. Dawes,BK ARMEX ENERGY Děčín,1,A. Dawes,"A. Rand, D. Davis, F. Kroutil, T. Pomikálek",2,11.4,3,1,6,16.7,1,5,20.0,0,0,0,0,0,0,1,0,0,1,3,7,0,3,1.5,15.2,106.4,0,106.4,25.0,25.0,100.0,12.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A. Dawes,BK ARMEX ENERGY Děčín,1,A. Dawes,"F. Kroutil, J. Štěrba, L. Feštr, O. Belikov",5,9.2,9,2,7,28.6,1,4,25.0,4,4,100.0,1,0,1,0,1,0,0,1,7,0,9,1.8,56.6,125.7,0,125.7,35.7,51.4,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
A. Dawes,BK ARMEX ENERGY Děčín,1,A. Dawes,"J. Edwards, J. Štěrba, Michal Grill, O. Belikov",3,9.1,4,1,5,20.0,0,1,0.0,2,2,100.0,2,2,4,0,0,0,3,0,7,0,4,1.3,26.2,111.4,0,111.4,20.0,34.0,0.0,33.8,2,1,50,1,0,0,0,0,0,0,3,0,0,2,0,2
A. Dawes,BK ARMEX ENERGY Děčín,1,A. Dawes,"F. Kroutil, J. Edwards, J. Štěrba, O. Belikov",4,9.0,12,4,5,80.0,0,0,0,4,4,100.0,0,0,0,1,2,0,0,0,6,0,12,3.0,59.7,144.4,0,144.4,80.0,88.8,25.0,0.0,3,2,66.7,3,3,100,0,0,0,0,0,0,0,0,2,6
A. Dawes,BK ARMEX ENERGY Děčín,1,A. Dawes,"J. Edwards, J. Štěrba, Marek Houška, T. Pomikálek",3,7.9,7,3,5,60.0,1,2,50.0,0,0,0,0,1,1,2,0,0,0,0,5,0,7,2.3,46.2,171.7,0,171.7,70.0,70.0,66.7,0.0,3,2,66.7,0,0,0,1,1,100,0,0,0,0,0,2,2
A. Dawes,BK ARMEX ENERGY Děčín,1,A. Dawes,"J. Edwards, J. Štěrba, L. Feštr, T. Pomikálek",4,7.0,4,0,1,0.0,0,1,0.0,4,5,80.0,0,2,2,0,0,0,1,1,4,0,4,1.0,22.7,102.0,0,102.0,0.0,62.5,0,23.8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
A. Dawes,BK ARMEX ENERGY Děčín,1,A. Dawes,"F. Kroutil, J. Štěrba, T. Pomikálek, Tadeáš Slowiak",5,6.3,2,0,1,0.0,0,1,0.0,2,2,100.0,0,0,0,1,0,0,1,0,3,0,2,0.4,15.1,136.2,0,136.2,0.0,53.2,0,25.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A. Dawes,BK ARMEX ENERGY Děčín,1,A. Dawes,"J. Edwards, J. Štěrba, L. Feštr, O. Belikov",3,5.4,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,72.6,0,72.6,0.0,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A. Dawes,BK ARMEX ENERGY Děčín,1,A. Dawes,"F. Kroutil, J. Štěrba, L. Feštr, M. Šturanović",5,5.3,5,2,3,66.7,0,1,0.0,1,1,100.0,0,1,1,2,0,0,0,1,3,0,5,1.0,44.0,105.6,0,105.6,66.7,72.7,100.0,0.0,2,2,100,0,0,0,1,0,0,0,0,0,0,0,2,0
A. Dawes,BK ARMEX ENERGY Děčín,1,A. Dawes,"F. Kroutil, J. Edwards, L. Feštr, M. Šturanović",2,5.2,8,3,3,100.0,2,2,100.0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,4.0,79.4,168.7,0,168.7,133.3,133.3,0.0,0.0,1,1,100,0,0,0,2,2,100,0,0,0,0,0,2,0
A. Dawes,BK ARMEX ENERGY Děčín,1,A. Dawes,"F. Kroutil, J. Edwards, L. Feštr, T. Pomikálek",2,4.3,2,0,4,0.0,0,2,0.0,2,2,100.0,0,0,0,2,0,0,0,0,5,0,2,1.0,21.8,87.0,0,87.0,0.0,20.5,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
A. Dawes,BK ARMEX ENERGY Děčín,1,A. Dawes,"F. Kroutil, J. Štěrba, L. Feštr, T. Pomikálek",4,4.0,0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,51.6,0,51.6,0.0,0.0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Dawes,BK ARMEX ENERGY Děčín,1,A. Dawes,"F. Kroutil, J. Edwards, J. Štěrba, M. Šturanović",4,3.8,3,1,2,50.0,1,1,100.0,0,1,0.0,0,0,0,0,0,0,1,0,3,0,3,0.8,35.8,35.8,0,35.8,75.0,61.5,0.0,29.1,1,0,0,0,0,0,1,1,100,0,1,0,0,0,0,0
A. Dawes,BK ARMEX ENERGY Děčín,1,A. Dawes,"F. Kroutil, L. Feštr, M. Šturanović, O. Belikov",3,3.5,5,2,4,50.0,0,1,0.0,1,1,100.0,0,1,1,0,2,0,0,0,4,0,5,1.7,55.1,110.2,0,110.2,50.0,56.3,0.0,0.0,3,2,66.7,0,0,0,0,0,0,0,0,0,0,0,0,2
