# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 227
# Qualified players exported: 153
# Total stints used: 10069
# Garbage time stints excluded: 380
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
ERA Basketball Nymburk,7,Marcus Armani Santos - Silva,896,4.36,5.32,9.68
ERA Basketball Nymburk,77,Vojtěch Hruban,1323,4.43,3.73,8.16
PUMPA Basket Brno,33,Ross Anthony Williams,579,2.93,3.58,6.51
BK Opava,25,Marek Vyroubal,1553,1.01,5.5,6.5
ERA Basketball Nymburk,32,Jay Shumate,1591,5.65,0.84,6.5
BK ARMEX ENERGY Děčín,0,Posh Alexander,947,4.4,1.67,6.07
ERA Basketball Nymburk,40,Jaquan Lawrence,1408,2.88,3.14,6.02
ERA Basketball Nymburk,17,Jaromír Bohačík,1898,2.21,3.65,5.86
Sršni Photomate Písek,41,Jan Karlovský,1942,1.76,4.08,5.84
ERA Basketball Nymburk,19,Ondřej Sehnal,1841,6.02,-0.22,5.81
BK KVIS Pardubice,4,Jamonda Roshawn Bryant,2738,1.32,3.96,5.28
BK KVIS Pardubice,23,Zed Jackson Key,1900,3.8,0.96,4.76
BK KVIS Pardubice,98,Jakub Tůma,2375,2.47,1.93,4.39
Sršni Photomate Písek,10,Vojtěch Sýkora,1567,3.3,0.5,3.8
BK KVIS Pardubice,11,Jacob Nicholas Evans Iii,988,-1.16,4.92,3.76
PUMPA Basket Brno,13,Adam Kejval,1946,0.71,3.03,3.74
SLUNETA  Ústí nad Labem,10,Nicholas Johnson,2320,0.61,3.1,3.71
BK Opava,13,Clevon Brown Jr,2362,1.89,1.81,3.7
SLUNETA  Ústí nad Labem,2,Jayhlon Young,1778,2.81,0.78,3.59
BK Olomoucko,9,Ondřej Šiška,1624,2.79,0.76,3.55
NH Ostrava,14,Samuel Dennis Godwin,1107,2.6,0.88,3.47
ERA Basketball Nymburk,73,František Rylich,1665,0.5,2.86,3.36
ERA Basketball Nymburk,2,Jhamir Brickus,594,0.83,2.31,3.14
BK KVIS Pardubice,21,Luboš Kovář,2423,-0.88,3.66,2.79
USK Praha,0,Jalen Terence Montgomery,1349,2.5,0.22,2.72
BK Opava,7,Isaiah John Gray,1132,1.72,0.84,2.56
ERA Basketball Nymburk,11,Matěj Svoboda,1738,1.28,1.22,2.5
BK ARMEX ENERGY Děčín,2,Dashawn Calvin Davis,1558,1.34,1.11,2.45
PUMPA Basket Brno,18,Viktor Půlpán,1894,-0.01,2.37,2.36
BK Olomoucko,14,Kyler Filewich,1881,0.75,1.58,2.33
BK Opava,1,Wesley Lavon Person Jr,2038,3.54,-1.32,2.21
NH Ostrava,3,Lynn Terence Greer,1387,2.45,-0.24,2.2
BK KVIS Pardubice,3,Robert Lee Bonham,2390,1.54,0.57,2.11
USK Praha,21,František Fuxa,512,-0.16,2.26,2.1
BK GAPA Hradec Králové,27,Vojtěch Synáček,536,0.86,1.22,2.09
PUMPA Basket Brno,34,Kevin Chukwuemeka Kalu,1571,1.02,0.9,1.92
SLUNETA  Ústí nad Labem,31,Josef Potoček,1335,1.03,0.81,1.83
BK Opava,8,Jan Švandrlík,2049,0.84,0.97,1.81
ERA Basketball Nymburk,10,Sir Jabari Rice,911,0.24,1.52,1.76
NH Ostrava,20,Michal Svoboda,1892,0.31,1.22,1.53
PUMPA Basket Brno,15,Ryker Broden Cisarik,1260,-0.64,2.12,1.48
BK ARMEX ENERGY Děčín,31,Oleksandr Belikov,266,1.55,-0.08,1.47
Sršni Photomate Písek,31,Jakub Zvolánek,604,1.62,-0.18,1.44
BK Opava,9,Filip Zbránek,956,1.44,-0.02,1.42
SLUNETA  Ústí nad Labem,44,Ladislav Pecka,2121,-0.06,1.48,1.42
PUMPA Basket Brno,20,Jacob Austin Groves,665,1.61,-0.2,1.4
PUMPA Basket Brno,4,Matěj Rychtecký,1055,0.45,0.59,1.04
BK KVIS Pardubice,2,Michal Svojanovský,256,0.54,0.49,1.03
SK Slavia Praha,16,Jan Matušík,1134,1.38,-0.35,1.03
USK Praha,1,Terry Henderson Jr.,1120,-0.2,1.03,0.83
Sršni Photomate Písek,71,Martin Svoboda,1592,1.63,-0.81,0.82
Sršni Photomate Písek,77,Josef Svoboda,1708,-0.01,0.83,0.82
BK ARMEX ENERGY Děčín,15,Marek Houška,333,-0.65,1.41,0.76
SLUNETA  Ústí nad Labem,9,David Žikla,792,-1.94,2.69,0.75
Sršni Photomate Písek,33,Kevin Týml,1725,1.67,-0.93,0.74
PUMPA Basket Brno,7,Milan Tomáš Stráněl,1175,1.54,-0.81,0.72
BK ARMEX ENERGY Děčín,20,Jaden Dewar Edwards,2033,0.55,0.13,0.67
Sršni Photomate Písek,22,Matyáš Ježek,266,-1.71,2.35,0.64
PUMPA Basket Brno,12,Petr Křivánek,1295,-0.49,1.04,0.55
BK KVIS Pardubice,9,Kamil Švrdlík,1693,-1.76,2.28,0.52
SLUNETA  Ústí nad Labem,18,Isaac Davidson,1540,1.39,-0.87,0.52
NH Ostrava,22,Pavel Novák,563,1.32,-0.8,0.52
SK Slavia Praha,35,Petr Macháč,899,-0.61,1.01,0.4
BK Opava,24,Jakub Šiřina,2027,-0.77,1.17,0.39
ERA Basketball Nymburk,31,Martin Kříž,1743,0.14,0.22,0.36
BK GAPA Hradec Králové,23,Tomáš Merta,1206,0.6,-0.4,0.2
SK Slavia Praha,15,Rubin Patrick Jones,1783,1.65,-1.47,0.17
BK KVIS Pardubice,13,Ryan Everett Moffatt,2687,1.28,-1.18,0.1
BK ARMEX ENERGY Děčín,16,Jan Štěrba,1802,0.37,-0.3,0.07
BK GAPA Hradec Králové,44,Tomáš Dvořák,961,2.24,-2.31,-0.07
BK ARMEX ENERGY Děčín,22,Lloyd Alvin Bryan Jr,285,-2.38,2.3,-0.08
BK GAPA Hradec Králové,2,Kareem Lamonte Brewton,1433,-3.54,3.41,-0.13
BK GAPA Hradec Králové,5,Kameron Jamal Chatman,1505,1.51,-1.68,-0.17
BK Opava,21,Radovan Kouřil,872,0.72,-0.91,-0.19
SK Slavia Praha,22,Radovan Mrázek,1323,-0.09,-0.14,-0.24
BK Olomoucko,1,Kobe Elvis,1164,0.1,-0.36,-0.27
NH Ostrava,23,Lukáš Palyza,1771,0.85,-1.17,-0.32
ERA Basketball Nymburk,13,David Böhm,366,-1.29,0.97,-0.32
USK Praha,44,Hameir Wright,400,-1.33,0.96,-0.37
Sršni Photomate Písek,13,Johan Haiblík,1002,-2.0,1.61,-0.39
NH Ostrava,19,Mikuláš Čank,1641,-0.29,-0.19,-0.48
BK ARMEX ENERGY Děčín,47,Maksim Šturanović,1263,-2.22,1.6,-0.62
BK ARMEX ENERGY Děčín,13,Filip Kroutil,1914,-2.28,1.56,-0.73
PUMPA Basket Brno,25,David Jelínek,2135,0.17,-0.97,-0.8
USK Praha,13,Dalibor Vlk,1559,1.51,-2.45,-0.94
SLUNETA  Ústí nad Labem,0,Adam Pecháček,1514,0.34,-1.29,-0.95
Sršni Photomate Písek,55,Jakub Šurý,477,-1.32,0.14,-1.17
BK Opava,3,František Váňa,560,0.38,-1.59,-1.2
BK ARMEX ENERGY Děčín,11,Michal Grill,267,-2.57,1.12,-1.45
BK ARMEX ENERGY Děčín,7,Tadeáš Slowiak,553,-1.26,-0.3,-1.56
BK ARMEX ENERGY Děčín,1,Al-Amir Dawes,596,-1.07,-0.52,-1.59
PUMPA Basket Brno,44,Viktor Ivánek,275,-1.48,-0.15,-1.64
PUMPA Basket Brno,19,Tomáš Jansa,558,-2.18,0.5,-1.68
BK ARMEX ENERGY Děčín,24,Ahmad Rand,529,-2.56,0.79,-1.77
BK Olomoucko,4,Adam Goga,1196,-0.58,-1.23,-1.81
USK Praha,41,Esli Edigin,323,-2.12,0.27,-1.85
ERA Basketball Nymburk,8,Goran Filipovic,625,-1.72,-0.14,-1.86
NH Ostrava,24,Keenon Cole,1539,1.28,-3.18,-1.9
BK GAPA Hradec Králové,11,Alessandro Petric,434,1.22,-3.14,-1.92
SLUNETA  Ústí nad Labem,4,Tomáš Vyoral,2023,-0.48,-1.49,-1.98
USK Praha,16,Ondřej Švec,1823,-0.62,-1.49,-2.11
BK Olomoucko,24,Lamb Autrey,550,1.63,-3.76,-2.13
Sršni Photomate Písek,9,Matěj Burda,1671,-1.3,-0.84,-2.14
BK Opava,11,Kryštof Kavan,1201,-0.1,-2.2,-2.3
NH Ostrava,10,Matěj Snopek,643,0.17,-2.52,-2.35
SK Slavia Praha,8,Tyrel Devonte Bladen,339,-2.33,-0.05,-2.38
NH Ostrava,25,Elias Cato,1272,-0.76,-1.62,-2.39
SK Slavia Praha,24,Meschak Wandja Lufile,665,-2.06,-0.36,-2.41
Sršni Photomate Písek,8,Petr Šlechta,1462,-2.73,0.31,-2.42
Sršni Photomate Písek,93,Dalibor Fait,372,-1.43,-1.0,-2.43
BK GAPA Hradec Králové,11,Lassi Paavo Verner Nikkarinen,1119,-1.22,-1.31,-2.52
BK GAPA Hradec Králové,12,David Škranc,1466,-2.73,0.18,-2.55
ERA Basketball Nymburk,12,Wesley Dreamer,489,-2.59,-0.05,-2.64
BK ARMEX ENERGY Děčín,5,Tomáš Pomikálek,1855,-1.32,-1.33,-2.65
SK Slavia Praha,88,Matěj Dáňa,1323,-0.6,-2.13,-2.73
BK GAPA Hradec Králové,10,Cody Chevell Christian John,266,-0.34,-2.39,-2.73
USK Praha,11,Samuel Macht,316,-1.59,-1.45,-3.04
SLUNETA  Ústí nad Labem,8,Filip Kábrt,1252,-0.07,-2.98,-3.05
BK Olomoucko,12,Miroslav Kvapil,390,-0.38,-2.73,-3.11
BK Olomoucko,13,Jaren Jamir Holmes,1039,-3.87,0.73,-3.14
PUMPA Basket Brno,11,Šimon Svoboda,1869,-3.5,0.13,-3.37
USK Praha,23,Jakub Soldán,589,1.18,-4.56,-3.38
PUMPA Basket Brno,8,Radek Farský,1881,-0.8,-2.69,-3.49
SK Slavia Praha,13,Nikolaos Noumeros,798,-3.24,-0.28,-3.52
Sršni Photomate Písek,12,František Suchánek,561,-3.86,0.23,-3.63
BK Olomoucko,0,Marek Ayers Nelson,1627,-3.7,0.06,-3.64
BK Olomoucko,22,Dominik Žák,1449,-4.86,1.22,-3.64
ERA Basketball Nymburk,6,Keyshawn Maklik Feazell,510,-3.1,-0.58,-3.68
USK Praha,5,Matěj Šafařík,1696,-2.05,-1.67,-3.71
SK Slavia Praha,7,David Böhm,1765,-2.06,-1.81,-3.87
BK Opava,20,Šimon Puršl,1914,-2.33,-1.77,-4.1
