country,league,season,scraped_at,Player,player_url,player_name,Nationality,height,position,age,GP,EFF,MPG,PPG,RPG,ORB,DRB,APG,BPG,SPG,PF,FTA,FTM,FT_pct,2PA,2PM,2P_pct,3PA,3PM,3P_pct,TO,team,team_abbrev,team_url
Austria,BSL,2025-2026,2026-05-07T12:16:55.179207,Abou-Ahmed Magdy 185-G-24,https://basketball.eurobasket.com/player/Abou-Ahmed-Magdy/484475,Magdy Abou-Ahmed,AUT,185,G,24,16,1.3,7.9,2.1,0.8,0.4,0.4,1.0,0.0,0.4,1.2,0.1,0.1,100.0,0.5,0.3,60.0,1.6,0.5,31.3,0.3,Oberwart,OBER,https://basketball.eurobasket.com/team/Unger-Steel-Gunners-Oberwart/1380
Austria,BSL,2025-2026,2026-05-07T12:16:55.428720,Amato Isaiah 196-G-25,https://basketball.eurobasket.com/player/Amato-Isaiah/570289,Isaiah Amato,USA,196,G,25,14,8.9,29.1,8.2,4.1,1.0,3.1,4.9,0.4,1.4,2.5,2.0,1.2,60.0,6.7,3.1,46.3,1.2,0.3,25.0,2.3,Eisenstadt,EISE,https://basketball.eurobasket.com/team/Coldmaris-BBC-Nord-Dragonz-Eisenstadt/37257
Austria,BSL,2025-2026,2026-05-07T12:16:55.705440,Amine Ilias 188-G-17,https://basketball.eurobasket.com/player/Amine-Ilias/748059,Ilias Amine,AUT,188,G,17,2,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UBSC Graz,UBSC,https://basketball.eurobasket.com/team/UBSC-Raiffeisen-Graz/1385
Austria,BSL,2025-2026,2026-05-07T12:16:55.960155,Archie Jacorie 198-SF-27,https://basketball.eurobasket.com/player/Archie-Jacorie/459129,Jacorie Archie,USA,198,SF,27,14,12.1,30.6,12.2,5.9,0.9,4.9,1.7,0.8,1.3,2.4,1.1,0.7,63.6,4.1,2.0,48.8,7.0,2.5,35.7,0.7,Eisenstadt,EISE,https://basketball.eurobasket.com/team/Coldmaris-BBC-Nord-Dragonz-Eisenstadt/37257
Austria,BSL,2025-2026,2026-05-07T12:16:56.225610,Asceric Luka 202-G-29,https://basketball.eurobasket.com/player/Asceric-Luka/333562,Luka Asceric,,202,G,29,18,15.5,30.6,14.6,4.3,0.2,4.1,5.1,0.2,1.0,2.0,2.8,2.4,85.7,3.3,1.6,48.5,6.8,3.0,44.1,1.8,Vienna,VIEN,https://basketball.eurobasket.com/team/BC-Vienna/2913
Austria,BSL,2025-2026,2026-05-07T12:16:56.482639,Asuke Godfrey 194-F-17,https://basketball.eurobasket.com/player/Asuke-Godfrey/795296,Godfrey Asuke,AUT,194,F,17,4,1.5,19.3,5.3,2.3,0.3,2.0,1.8,0.3,0.3,3.3,2.5,1.3,52.0,1.5,1.3,86.7,2.0,0.5,25.0,2.0,Vienna,VIEN,https://basketball.eurobasket.com/team/BC-Vienna/2913
Austria,BSL,2025-2026,2026-05-07T12:16:56.732091,Asuzu Kwemtochuckwu -PF-16,https://basketball.eurobasket.com/player/Asuzu-Kwemtochuckwu/811930,Kwemtochuckwu Asuzu,AUT,,,,4,0.3,6.3,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vienna,VIEN,https://basketball.eurobasket.com/team/BC-Vienna/2913
Austria,BSL,2025-2026,2026-05-07T12:16:56.984868,Azor Marcus 188-G-26,https://basketball.eurobasket.com/player/Azor-Marcus/495867,Marcus Azor,USA,188,G,26,25,20.8,29.5,19.4,4.6,1.0,3.6,6.1,0.3,2.2,1.9,4.6,3.5,76.1,10.6,6.3,59.4,2.8,1.1,39.3,2.8,Wels,WELS,https://basketball.eurobasket.com/team/BC-Raiffeisen-Flyers-Wels/1121
Austria,BSL,2025-2026,2026-05-07T12:16:57.241212,Bajo Darko 205-F/C-27,https://basketball.eurobasket.com/player/Bajo-Darko/335258,Darko Bajo,CRO,205,F/C,27,15,7.1,21.5,7.1,4.3,1.3,3.0,0.9,0.8,0.5,2.2,2.9,2.1,72.4,4.5,2.5,55.6,0.3,0.0,0.0,1.2,Vienna,VIEN,https://basketball.eurobasket.com/team/BC-Vienna/2913
Austria,BSL,2025-2026,2026-05-07T12:16:57.496726,Bajramovic Mirza 190-G-18,https://basketball.eurobasket.com/player/Bajramovic-Mirza/714632,Mirza Bajramovic,AUT,190,G,18,6,0.0,4.5,0.5,0.3,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.2,100.0,0.3,0.2,66.7,0.3,0.0,0.0,0.2,Kapfenberg,KAPF,https://basketball.eurobasket.com/team/HEFTE-HELFEN-Bulls-Kapfenberg/2082
Austria,BSL,2025-2026,2026-05-07T12:16:57.758031,Bakic Leon 194-G-19,https://basketball.eurobasket.com/player/Bakic-Leon/713227,Leon Bakic,AUT,194,G,19,4,-0.5,4.8,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.3,60.0,0.5,0.0,0.0,0.0,St.Poelten,ST.P,https://basketball.eurobasket.com/team/SKN-St-Poelten-Basketball/672
Austria,BSL,2025-2026,2026-05-07T12:16:58.016369,Beganovic Majid 190-G-20,https://basketball.eurobasket.com/player/Beganovic-Majid/759646,Majid Beganovic,AUT,190,G,20,3,-3.3,7.0,0.7,0.3,0.3,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.7,0.3,17.6,2.0,0.0,0.0,0.7,Furstenfeld,FURS,https://basketball.eurobasket.com/team/CITIES-Panthers-Furstenfeld/1381
Austria,BSL,2025-2026,2026-05-07T12:16:58.270807,Benczak Lenny 194-SG-17,https://basketball.eurobasket.com/player/Benczak-Lenny/713246,Lenny Benczak,AUT,194,SG,17,20,2.2,17.1,5.2,1.6,0.4,1.2,0.7,0.2,0.4,1.8,1.4,1.1,78.6,2.5,1.1,44.0,2.0,0.7,35.0,1.4,Vienna,VIEN,https://basketball.eurobasket.com/team/BC-Vienna/2913
Austria,BSL,2025-2026,2026-05-07T12:16:58.521374,Bitkin Mykyta 183-G-21,https://basketball.eurobasket.com/player/Bitkin-Mykyta/632936,Mykyta Bitkin,UKR,183,G,21,9,2.0,5.4,1.7,0.9,0.2,0.7,0.7,0.0,0.3,0.6,0.4,0.3,75.0,0.3,0.3,100.0,0.3,0.2,66.7,0.8,Traiskirchen,TRAI,https://basketball.eurobasket.com/team/druckat-Traiskirchen-Lions/630
Austria,BSL,2025-2026,2026-05-07T12:16:58.790590,Bjelanovic Filip 200-F/G-24,https://basketball.eurobasket.com/player/Bjelanovic-Filip/374892,Filip Bjelanovic,CRO,200,F/G,24,20,16.6,34.4,22.0,6.3,1.8,4.5,2.6,0.5,2.2,3.1,5.8,4.4,75.9,8.7,4.8,55.2,8.4,2.7,32.1,2.9,Furstenfeld,FURS,https://basketball.eurobasket.com/team/CITIES-Panthers-Furstenfeld/1381
Austria,BSL,2025-2026,2026-05-07T12:16:59.037294,Bjeletic Dragan 205-C-33,https://basketball.eurobasket.com/player/Bjeletic-Dragan/276450,Dragan Bjeletic,MNT,205,C,33,20,13.1,27.5,12.6,6.8,1.8,5.1,1.9,0.2,0.3,2.2,3.8,3.0,78.9,5.8,3.4,58.6,2.5,1.0,40.0,1.8,Klosterneuburg,KLOS,https://basketball.eurobasket.com/team/BK-Karbon-X-Dukes-Klosterneuburg/1120
Austria,BSL,2025-2026,2026-05-07T12:16:59.285560,Blazevic Benjamin 204-C-30,https://basketball.eurobasket.com/player/Blazevic-Benjamin/247588,Benjamin Blazevic,AUT,204,C,30,16,3.8,20.1,5.3,4.5,1.6,2.9,0.9,0.3,0.3,3.6,3.5,2.6,74.3,3.2,1.4,43.8,0.1,0.0,0.0,1.0,Klosterneuburg,KLOS,https://basketball.eurobasket.com/team/BK-Karbon-X-Dukes-Klosterneuburg/1120
Austria,BSL,2025-2026,2026-05-07T12:16:59.542778,Bliem Phillip 201-F-21,https://basketball.eurobasket.com/player/Bliem-Phillip/711911,Phillip Bliem,AUT,201,F,21,6,0.5,3.2,0.0,0.7,0.0,0.7,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.3,UBSC Graz,UBSC,https://basketball.eurobasket.com/team/UBSC-Raiffeisen-Graz/1385
Austria,BSL,2025-2026,2026-05-07T12:16:59.821822,Boum Souley 190-G-27,https://basketball.eurobasket.com/player/Boum-Souley/431058,Souley Boum,,190,G,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,Vienna,VIEN,https://basketball.eurobasket.com/team/BC-Vienna/2913
Austria,BSL,2025-2026,2026-05-07T12:17:00.075443,Boumann Vincent 206-C-30,https://basketball.eurobasket.com/player/Boumann-Vincent/395267,Vincent Boumann,USA,206,C,30,2,7.0,18.5,8.0,7.0,2.5,4.5,0.5,0.0,1.5,2.0,5.0,2.0,40.0,6.0,3.0,50.0,0.0,0.0,0.0,2.0,Klosterneuburg,KLOS,https://basketball.eurobasket.com/team/BK-Karbon-X-Dukes-Klosterneuburg/1120
Austria,BSL,2025-2026,2026-05-07T12:17:00.395646,Boya Aristide 216-C-27,https://basketball.eurobasket.com/player/Boya-Aristide/421026,Aristide Boya,CMR,216,C,27,21,4.4,13.8,5.5,3.6,1.6,2.0,0.3,0.5,0.2,2.0,2.5,1.6,64.0,3.5,2.0,57.1,0.0,0.0,0.0,1.4,Eisenstadt,EISE,https://basketball.eurobasket.com/team/Coldmaris-BBC-Nord-Dragonz-Eisenstadt/37257
Austria,BSL,2025-2026,2026-05-07T12:17:00.657085,Brewer Tevin 173-PG-27,https://basketball.eurobasket.com/player/Brewer-Tevin/458874,Tevin Brewer,USA,173,PG,27,25,17.4,35.6,19.4,2.6,0.6,2.0,8.5,0.0,1.5,2.1,3.0,2.5,83.3,9.8,4.8,49.0,6.7,2.4,35.8,2.9,UBSC Graz,UBSC,https://basketball.eurobasket.com/team/UBSC-Raiffeisen-Graz/1385
Austria,BSL,2025-2026,2026-05-07T12:17:00.957484,Brown Judah 198-F-24,https://basketball.eurobasket.com/player/Brown-Judah/438800,Judah Brown,USA,198,F,24,24,15.5,33.2,17.2,5.4,0.8,4.7,1.7,1.0,1.0,1.7,5.0,4.0,80.0,6.5,3.4,52.3,6.0,2.2,36.7,1.7,St.Poelten,ST.P,https://basketball.eurobasket.com/team/SKN-St-Poelten-Basketball/672
Austria,BSL,2025-2026,2026-05-07T12:17:01.268002,Burgholzer Simon 176-G-19,https://basketball.eurobasket.com/player/Burgholzer-Simon/711887,Simon Burgholzer,AUT,176,G,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,,,
Austria,BSL,2025-2026,2026-05-07T12:17:01.595936,Cotton Tekele 188-SG-33,https://basketball.eurobasket.com/player/Cotton-Tekele/234066,Tekele Cotton,USA,188,SG,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,Vienna,VIEN,https://basketball.eurobasket.com/team/BC-Vienna/2913
Austria,BSL,2025-2026,2026-05-07T12:17:01.879930,Cvetkova Lukas 192-G-19,https://basketball.eurobasket.com/player/Cvetkova-Lukas/705824,Lukas Cvetkova,AUT,192,G,19,21,5.1,24.2,8.4,1.4,0.4,1.0,2.7,0.3,1.2,2.3,2.0,1.8,90.0,3.5,1.6,45.7,4.5,1.1,24.4,1.3,Vienna,VIEN,https://basketball.eurobasket.com/team/BC-Vienna/2913
Austria,BSL,2025-2026,2026-05-07T12:17:02.145826,Cvetkovski Filip 184-G-21,https://basketball.eurobasket.com/player/Cvetkovski-Filip/720114,Filip Cvetkovski,MKD,184,G,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,,,
Austria,BSL,2025-2026,2026-05-07T12:17:02.422248,Czerapowicz David 192-G-27,https://basketball.eurobasket.com/player/Czerapowicz-David/349322,David Czerapowicz,,192,G,27,8,12.6,38.0,16.3,3.9,0.9,3.0,2.9,0.0,1.4,1.0,1.5,1.5,100.0,4.8,1.8,37.5,10.0,3.8,38.0,1.5,Furstenfeld,FURS,https://basketball.eurobasket.com/team/CITIES-Panthers-Furstenfeld/1381
