league,season,team,team_abbrev,player_name,GP,MIN,PTS,FGM,FGA,FG_pct,TwoPM,TwoPA,TwoP_pct,ThreePM,ThreePA,ThreeP_pct,FTM,FTA,FT_pct,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PPG,MPG,RPG,APG,SPG,BPG,TOPG,FPG,MIN_pct,POSS,PACE_EST,PTS_per100,AST_per100,REB_per100,OREB_per100,DREB_per100,STL_per100,BLK_per100,TOV_per100,FGA_per100,FTA_per100,ThreePA_per100,ThreePM_per100,PF_per100,TS_pct,eFG_pct,TM_TS_pct,ThreePA_rate,FT_rate,Total_S_pct,ORB_pct,DRB_pct,TRB_pct,AST_pct,TOV_pct,STL_pct,BLK_pct,USG_pct,PF_pct,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,AST_TO,AST_ratio,OREB_ratio,DREB_ratio,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_FT,GmSc,GmSc_per_game,BPM,OBPM,DBPM,Linear_BPM,VORP,Position_Est,Off_Role_Est,BPM_Mode,TS_pct_scraped,eFG_pct_scraped,Total_S_pct_scraped,ORB_pct_scraped,DRB_pct_scraped,TRB_pct_scraped,AST_pct_scraped,TOV_pct_scraped,STL_pct_scraped,BLK_pct_scraped,USG_pct_scraped,PPR_scraped,PPS_scraped,ORtg_scraped,DRtg_scraped,eDiff_scraped,FIC_scraped,PER_scraped,player_url,team_url
Norwegian BLNO,2025-2026,Froya Basket,FRO,Cedric Johnson,29,969.5,645.0,245.0,431.0,56.8,205.0,341.0,60.1,40.0,90.0,44.4,115.0,153.0,75.2,36.0,202.0,238.0,167.0,74.0,27.0,89.0,38.0,22.2,33.4,8.2,5.8,2.6,0.9,3.1,1.3,83.6,1892.4,65.3,34.1,8.8,12.6,1.9,10.7,3.9,1.4,4.7,22.8,8.1,4.8,2.1,2.0,64.7,61.5,58.0,20.9,0.355,149.7,4.2,21.7,13.2,31.5,15.2,3.9,2.9,26.8,0.098,1.1,1.5,225.8,102.3,123.5,611.9,15.0,1.88,22.1,15.1,84.9,63.6,18.6,17.8,617.5,21.3,12.3,7.4,4.9,18.1,4.2,2.5,2.0,position,.647,.615,176.5,4.5,23.3,14.3,30.9,15.2,3.9,2.8,26.4,2.3,1.5,126.6,96.6,30.0,611.9,30.2,/player/Cedric-Johnson/Summary/140680,/international/league/68/Norwegian-BLNO/team/907/Froya-Basket
Norwegian BLNO,2025-2026,Ammerud Basket,AMM,Tedrick Wolfe,28,985.6,749.0,267.0,484.0,55.2,225.0,348.0,64.7,42.0,136.0,30.9,173.0,225.0,76.9,35.0,168.0,203.0,137.0,65.0,40.0,80.0,87.0,26.8,35.2,7.2,4.9,2.3,1.4,2.9,3.1,88.0,1966.7,70.2,38.1,7.0,10.3,1.8,8.5,3.3,2.0,4.1,24.6,11.4,6.9,2.1,4.4,64.2,59.5,56.1,28.1,0.465,154.8,3.9,16.9,10.7,27.7,12.1,3.3,3.9,29.9,0.194,1.1,1.5,214.5,113.1,101.4,581.1,14.9,1.71,17.1,17.2,82.8,60.1,16.8,23.1,645.2,23.0,9.0,7.1,1.9,16.8,3.3,2.7,1.7,position,.642,.595,162.9,4.3,18.7,11.9,27.7,12.1,3.3,3.9,29.9,1.2,1.5,124.4,107.2,17.3,581.1,29.8,/player/Tedrick-Wolfe/Summary/164423,/international/league/68/Norwegian-BLNO/team/912/Ammerud-Basket
Norwegian BLNO,2025-2026,Flyyingen BBK,FLY,Caleb Murphy,19,453.7,384.0,158.0,299.0,52.8,152.0,274.0,55.5,6.0,25.0,24.0,62.0,87.0,71.3,33.0,67.0,100.0,58.0,26.0,4.0,34.0,37.0,20.2,23.9,5.3,3.1,1.4,0.2,1.8,1.9,59.7,917.1,48.3,41.9,6.3,10.9,3.6,7.3,2.8,0.4,3.7,32.6,9.5,2.7,0.7,4.0,56.9,53.8,58.6,8.4,0.291,128.4,7.2,15.6,11.3,21.8,9.2,2.8,0.9,34.1,0.176,1.2,1.3,230.3,99.0,131.3,245.9,14.7,1.71,13.5,33.0,67.0,79.2,4.7,16.1,291.7,15.4,7.1,5.7,1.4,13.5,1.3,2.9,3.6,position,.569,.538,148.1,8.3,17.2,12.7,21.2,9.2,2.9,0.9,34.2,1.0,1.3,121.1,100.5,20.6,245.9,29.0,/player/Caleb-Murphy/Summary/148678,/international/league/68/Norwegian-BLNO/team/1666/Flyyingen-BBK
Norwegian BLNO,2025-2026,Baerum Basket,BAE,Pau Tendero,20,635.6,478.0,192.0,321.0,59.8,185.0,294.0,62.9,7.0,27.0,25.9,87.0,162.0,53.7,47.0,98.0,145.0,49.0,36.0,9.0,37.0,27.0,23.9,31.8,7.2,2.5,1.8,0.5,1.9,1.4,79.5,1273.8,63.7,37.5,3.8,11.4,3.7,7.7,2.8,0.7,2.9,25.2,12.7,2.1,0.5,2.1,60.9,60.9,53.5,8.4,0.505,148.9,6.9,16.1,11.2,15.9,8.6,2.8,1.3,29.0,0.094,0.9,1.5,231.7,105.6,126.1,340.5,14.2,1.32,10.2,32.4,67.6,77.4,4.4,18.2,391.2,19.6,7.3,5.5,1.8,14.6,1.8,3.0,3.4,position,.609,.609,139.4,7.4,17.2,12.0,15.8,8.6,2.8,1.2,28.7,-0.7,1.5,121.7,102.1,19.6,340.5,28.4,/player/Pau-Tendero/Summary/139596,/international/league/68/Norwegian-BLNO/team/906/Baerum-Basket
Norwegian BLNO,2025-2026,Froya Basket,FRO,Jamal Poplar,29,959.6,676.0,261.0,468.0,55.8,229.0,365.0,62.7,32.0,103.0,31.1,122.0,162.0,75.3,120.0,270.0,390.0,53.0,32.0,37.0,99.0,84.0,23.3,33.1,13.4,1.8,1.1,1.3,3.4,2.9,82.7,1873.1,64.6,36.1,2.8,20.8,6.4,14.4,1.7,2.0,5.3,25.0,8.6,5.5,1.7,4.5,62.7,59.2,58.0,22.0,0.346,144.4,14.0,29.3,21.9,10.5,15.5,1.7,3.9,29.4,0.22,0.8,1.4,219.3,102.3,117.0,567.8,14.1,0.54,7.7,30.8,69.2,67.8,14.2,18.0,564.2,19.5,5.5,4.4,1.1,13.4,2.2,4.1,3.3,position,.627,.592,162.1,15.1,31.5,23.6,10.3,15.5,1.7,3.9,29.0,-6.7,1.4,119.1,98.0,21.1,567.8,28.2,/player/Jamal-Poplar/Summary/253224,/international/league/68/Norwegian-BLNO/team/907/Froya-Basket
Norwegian BLNO,2025-2026,Flyyingen BBK,FLY,Joshua Keyes,35,1094.3,664.0,237.0,427.0,55.5,193.0,293.0,65.9,44.0,134.0,32.8,146.0,185.0,78.9,62.0,246.0,308.0,121.0,67.0,34.0,81.0,102.0,19.0,31.3,8.8,3.5,1.9,1.0,2.3,2.9,78.2,2212.0,63.2,30.0,5.5,13.9,2.8,11.1,3.0,1.5,3.7,19.3,8.4,6.1,2.0,4.6,65.3,60.7,58.6,31.4,0.433,155.5,5.6,23.7,14.4,15.4,13.7,3.0,3.2,22.4,0.202,0.9,1.6,232.4,99.0,133.4,610.9,13.2,1.49,17.0,20.1,79.9,58.1,19.9,22.0,615.2,17.6,10.0,5.8,4.2,14.6,4.0,3.4,4.0,position,.653,.607,167.3,6.3,26.4,16.2,15.3,13.7,3.1,3.3,22.5,0.0,1.6,128.3,93.9,34.4,610.9,25.8,/player/Joshua-Keyes/Summary/92996,/international/league/68/Norwegian-BLNO/team/1666/Flyyingen-BBK
Norwegian BLNO,2025-2026,Gimle BBK,GIM,Javonte Johnson,36,1104.5,762.0,294.0,506.0,58.1,240.0,375.0,64.0,54.0,131.0,41.2,120.0,153.0,78.4,44.0,152.0,196.0,96.0,49.0,8.0,67.0,59.0,21.2,30.7,5.4,2.7,1.4,0.2,1.9,1.6,76.7,2157.8,59.9,35.3,4.4,9.1,2.0,7.0,2.3,0.4,3.1,23.4,7.1,6.1,2.5,2.7,66.5,63.4,59.2,25.9,0.302,150.6,4.4,14.1,9.5,15.5,10.5,2.3,0.7,26.1,0.1,0.9,1.5,237.0,97.3,139.7,539.6,12.8,1.43,13.0,22.4,77.6,63.0,21.3,15.7,619.8,17.2,9.2,6.5,2.7,14.4,3.8,2.8,3.4,position,.665,.634,177.8,4.9,15.3,10.4,15.2,10.5,2.2,0.7,25.8,-0.3,1.5,127.7,97.9,29.8,539.6,25.5,/player/Javonte-Johnson/Summary/135359,/international/league/68/Norwegian-BLNO/team/908/Gimle-BBK
Norwegian BLNO,2025-2026,Centrum Tigers,CEN,Marcus Larsson,27,755.7,380.0,146.0,265.0,55.1,144.0,252.0,57.1,2.0,13.0,15.4,86.0,125.0,68.8,68.0,237.0,305.0,93.0,41.0,38.0,64.0,80.0,14.1,28.0,11.3,3.4,1.5,1.4,2.4,3.0,70.0,1493.6,55.3,25.4,6.2,20.4,4.6,15.9,2.7,2.5,4.3,17.7,8.4,0.9,0.1,5.4,59.4,55.5,56.3,4.9,0.472,143.4,9.5,33.8,21.5,20.7,16.7,2.7,5.0,22.6,0.216,0.8,1.4,212.6,105.1,107.5,448.1,12.2,1.45,19.5,22.3,77.7,75.8,1.6,22.6,392.7,14.5,6.3,2.4,3.9,13.1,1.9,3.9,3.8,position,.594,.555,139.3,10.5,36.7,23.5,21.4,16.7,2.8,5.1,23.0,-0.3,1.4,115.2,93.5,21.7,448.1,24.4,/player/Marcus-Larsson/Summary/111056,/international/league/68/Norwegian-BLNO/team/911/Centrum-Tigers
Norwegian BLNO,2025-2026,Flyyingen BBK,FLY,Bogdan Brinyuk,26,511.2,282.0,121.0,209.0,57.9,121.0,208.0,58.2,0.0,1.0,0.0,40.0,59.0,67.8,98.0,101.0,199.0,28.0,13.0,16.0,34.0,59.0,10.8,19.7,7.7,1.1,0.5,0.6,1.3,2.3,49.2,1033.3,39.7,27.3,2.7,19.3,9.5,9.8,1.3,1.5,3.3,20.2,5.7,0.1,0.0,5.7,60.0,57.9,58.6,0.5,0.282,134.9,19.1,20.9,20.0,7.8,12.6,1.3,3.3,21.9,0.25,0.7,1.3,261.1,99.0,162.1,270.4,12.3,0.82,9.4,49.2,50.8,85.8,0.0,14.2,261.6,10.1,4.4,4.2,0.2,9.1,1.0,4.1,4.7,position,.600,.579,125.7,21.7,22.4,22.0,7.7,12.6,1.3,3.3,21.9,-3.0,1.3,125.9,98.7,27.2,270.4,24.1,/player/Bogdan-Brinyuk/Summary/171712,/international/league/68/Norwegian-BLNO/team/1666/Flyyingen-BBK
Norwegian BLNO,2025-2026,Gimle BBK,GIM,Hallvard Staff,18,427.6,260.0,89.0,153.0,58.2,84.0,131.0,64.1,5.0,22.0,22.7,77.0,93.0,82.8,30.0,86.0,116.0,28.0,12.0,13.0,28.0,53.0,14.4,23.8,6.4,1.6,0.7,0.7,1.6,2.9,59.4,835.4,46.4,31.1,3.4,13.9,3.6,10.3,1.4,1.6,3.4,18.3,11.1,2.6,0.6,6.3,67.0,59.8,59.2,14.4,0.608,169.9,7.8,20.6,14.5,10.6,12.6,1.4,2.9,23.4,0.232,0.8,1.7,233.1,97.3,135.8,203.4,12.0,1.0,11.2,25.9,74.1,64.6,5.8,29.6,220.4,12.2,6.6,3.6,3.0,11.1,1.1,3.6,3.9,position,.670,.598,163.7,9.0,22.3,16.1,10.7,12.6,1.4,2.9,23.4,-2.2,1.7,128.5,97.4,31.1,203.4,23.6,/player/Hallvard-Staff/Summary/187272,/international/league/68/Norwegian-BLNO/team/908/Gimle-BBK
